CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_FISH,IND_MINI,IND_CONS,IND_MANU,IND_SUPP,IND_TRAN,IND_SALE,IND_FINA,IND_REAL,IND_SERV,IND_GOVE,IND_OTHER
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01101,181383,8025,46.42,3907.4,94210,-,179003,20035,123464,29103,895,374423,277700,398,28827,243856,384,14,99,18684,10044,2543,15354,85917,17977,7200,98438,16427,4619
01102,260114,8695,63.48,4097.6,111448,-,246265,34995,184432,36237,975,240764,98261,588,20800,74393,579,9,14,16598,4188,404,5143,25484,2410,1872,35914,3166,2480
01103,248950,7631,57.13,4357.6,108132,-,243577,34106,180567,34228,810,228803,102702,539,26004,73733,534,5,8,17131,8865,465,9805,29129,1374,1532,28153,3275,2426
01104,197223,5121,34.58,5703.4,91494,-,193684,25424,142582,26473,430,189457,96390,347,23953,70016,345,2,14,15413,8526,141,11964,27819,1850,1484,25279,1479,2074
01105,204700,8574,46.35,4416.4,97557,-,204003,24890,145700,29488,782,175279,69191,245,12982,54095,243,2,12,9534,3436,429,4479,19346,1664,1879,24299,1999,1869
01106,156787,1137,657.23,238.6,60955,-,135688,22130,107371,25973,346,130667,45891,543,6592,37716,540,3,357,4991,1244,276,2651,10022,774,686,17104,6203,1040
01107,199385,5077,74.93,2661,82758,-,197532,27100,140230,30308,372,174654,76655,240,19739,54914,238,2,24,9058,10657,193,6621,21980,1664,1264,21105,2087,1762
01108,127718,4980,24.38,5238.6,48759,-,125146,19885,90046,17649,393,111609,42646,133,6092,35595,132,1,8,3496,2588,264,5084,12056,907,564,15758,962,826
01109,136006,6522,56.92,2389.4,48696,-,131215,20927,95240,19489,221,107533,35374,275,7635,26645,273,2,37,4179,3419,127,3640,9116,566,380,11895,921,819
01110,110102,9581,59.7,1844.3,37939,-,103571,18913,76691,13803,467,87568,28591,227,6227,21943,223,4,12,4298,1917,89,2642,8460,492,279,9386,595,194
01202,287637,-11244,346.9,829.2,121779,-,260357,37165,193119,57343,469,296374,136022,2089,27437,105226,1257,832,47,15146,12244,831,10643,37739,4599,1351,43115,6948,1270
01203,150687,-6335,243.13,619.8,61471,-,131246,17398,98035,35253,270,151154,68013,1033,15608,50879,434,599,20,5550,10038,426,5613,19302,1983,490,20645,2420,493
01204,359536,-1032,747.6,480.9,146400,-,329670,48670,244817,65866,447,362055,173153,4901,40536,125608,4897,4,84,23779,16673,958,11830,45964,5382,1544,51080,8850,2108
01205,103278,-6488,80.64,1280.7,45759,-,85251,12183,68873,22088,224,111709,52835,327,16206,36218,82,245,7,7322,8877,462,4304,11735,1599,337,15701,2080,84
01206,191739,-7584,221.61,865.2,79796,-,176971,27055,132668,32016,243,194101,91037,1797,21983,67192,481,1316,1603,11415,8965,688,8238,24347,3160,781,26163,3815,65
01207,173030,1315,618.94,279.6,70894,-,161127,27077,119343,26450,364,179801,93069,3634,20245,67557,3620,14,95,12988,7162,358,5687,25274,2845,709,26448,6236,1633
01208,112040,1588,421.08,266.1,46759,-,86991,16454,76882,18641,272,111640,54943,2320,13480,38320,2307,13,84,7714,5682,302,3677,14707,1666,435,15626,1907,823
01209,14791,-2325,763.36,19.4,6878,-,0,1320,8502,4969,7,14919,6540,850,1534,4148,850,0,1,697,836,63,369,1061,81,18,2126,430,8
01210,85029,-96,204.74,415.3,33168,-,57685,11932,56536,16561,94,81207,35043,2215,7056,25658,2214,1,7,4204,2845,195,2412,8978,974,232,10677,2190,114
01211,43395,-781,470.88,92.2,18012,-,31315,6214,29859,7322,135,44742,22878,2386,5428,15002,1627,759,11,2938,2479,85,1317,4451,500,84,6934,1631,62
01212,28325,-1735,297.3,95.3,11767,-,23006,4021,19022,5282,28,29057,15076,467,4399,10198,327,140,14,2587,1798,90,1005,3079,389,35,3885,1715,12
01213,172086,2758,561.1,306.7,70368,-,141089,26445,120237,25397,344,172736,83102,834,23362,58113,657,177,78,12172,11112,631,10506,19115,2261,594,22681,2325,793
01214,43774,-1980,760.8,57.5,17964,-,35818,6277,29945,7552,135,43986,23706,2141,6044,15467,628,1513,22,3189,2833,91,1704,5047,550,67,6349,1659,54
01215,31183,-2251,277.61,112.3,12437,-,13614,3717,19644,7820,53,31153,13808,2073,3574,8100,2073,0,29,1948,1597,66,665,1982,180,72,4154,981,61
01216,21026,-1905,865.07,24.3,8692,-,10129,2421,12604,6001,69,20511,8542,1041,2516,4985,1040,1,102,997,1417,41,430,1536,152,17,2345,464,0
01217,123877,8382,187.57,660.4,47658,-,108536,19216,85788,18832,183,109187,36259,1649,9102,24731,1644,5,9,4713,4380,214,2355,8674,575,332,11549,1032,777
01218,15753,-1598,129.88,121.3,6635,-,8206,1572,9472,4709,20,15848,6759,279,2572,3900,276,3,38,819,1715,27,313,957,86,8,2120,389,8
01219,28476,-1661,830.36,34.3,12085,-,19746,3852,18830,5794,67,28639,14586,1279,4506,8787,655,624,36,1814,2656,108,969,2833,393,50,3853,581,14
01220,23065,-1228,597.28,38.6,8602,-,13595,3116,14372,5577,34,23106,11755,2273,2798,6672,2271,2,25,1722,1051,53,573,2197,227,18,3193,411,12
01221,27760,-989,314.62,88.2,11219,-,21142,3862,18385,5513,70,28241,14407,1138,2466,10791,1138,0,8,1382,1076,164,783,2988,376,40,4044,2396,12
01222,13561,-1555,302.64,44.8,5887,-,5419,1243,7695,4623,13,13485,5269,430,2061,2777,430,0,27,663,1371,50,213,744,38,11,1473,248,1
01223,33150,-1784,412.7,80.3,12222,-,19579,5080,22093,5977,94,33418,18129,3944,4559,9612,435,3509,20,1419,3120,83,781,3393,427,43,3552,1333,14
01223X,0,0,99.94,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01224,88897,4031,594.95,149.4,33532,-,72908,14990,63433,10437,203,92338,49729,1497,11244,36839,1465,32,14,3845,7385,221,4411,9230,716,396,10639,11226,149
01225,46861,-1564,115.82,404.6,18768,-,34442,6638,30867,9356,68,47155,22142,1331,4428,16335,1330,1,69,3172,1187,140,1522,5512,717,162,6621,1661,48
01226,21072,-650,78.69,267.8,8448,-,10968,2696,13404,4972,20,21586,10030,594,2863,6564,594,0,33,1565,1265,181,703,2220,168,33,2945,314,9
01227,5941,-926,55.99,106.1,2579,-,0,564,3438,1939,21,5388,1717,12,480,1222,12,0,38,294,148,9,92,282,13,2,633,191,3
01228,27579,-1191,529.12,52.1,10945,-,12720,3227,17179,7173,43,28178,13895,2832,2553,8497,2832,0,65,1535,953,78,665,2479,238,37,4395,605,13
01229,26112,66,600.83,43.5,9914,-,14466,4067,16480,5565,59,27107,14448,3380,2439,8619,3379,1,40,1554,845,68,781,2659,294,31,4292,494,10
01230,54761,-2131,212.11,258.2,21641,-,41274,7291,36369,11097,87,47382,17530,236,3954,13283,128,108,31,2565,1358,78,1090,4096,247,88,6493,1191,57
01231,65239,2888,294.87,221.2,23660,-,56262,10620,45305,9313,77,60882,27096,1378,7388,18102,1329,49,20,2392,4976,91,1491,4723,441,118,6344,4894,228
01233,35042,611,170.25,205.8,13843,-,21129,4600,22536,7904,21,32923,14156,1815,2928,9363,1501,314,48,1783,1097,156,544,3202,348,85,4475,553,50
01234,57731,4194,118.54,487,20305,-,43467,8780,40128,8723,82,54204,22573,761,5264,16235,761,0,18,2425,2821,85,3004,4549,239,85,7588,685,313
01235,54567,2358,117.85,463,18688,-,43046,8132,37990,8034,35,52830,25404,905,8037,15837,830,75,21,3743,4273,142,3464,5945,214,104,5280,688,625
01303,20778,1106,422.71,49.2,7723,-,8090,3522,13732,3524,38,19763,8232,1886,1546,4741,1885,1,18,1194,334,40,271,1273,60,43,2552,502,59
