CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_FISH,IND_MINI,IND_CONS,IND_MANU,IND_SUPP,IND_INFO,IND_TRAN,IND_SALE,IND_FINA,IND_REAL,IND_ACCO,IND_MEDI,IND_EDUC,IND_COMP,IND_OSERV,IND_GOVE,IND_OTHER
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01101,202801,21418,46.42,4368.8,108435,-,200393,21175,144204,35156,1189,390438,268741,446,22273,238840,420,26,59,15629,6585,2418,20726,5985,57910,15672,8404,25033,19148,7860,2478,57579,15627,7182
01102,272877,12763,63.48,4298.6,120810,-,254692,34665,191809,46357,1127,257035,99414,545,17631,77542,539,6,12,13928,3691,269,3084,3892,20182,2080,2137,5460,10570,9307,879,16331,3351,3696
01103,253996,5046,57.13,4445.9,113457,-,248145,32787,179911,41129,858,235844,100245,439,22251,74139,438,1,3,15032,7216,325,2133,7497,24355,1158,1851,3897,9673,3606,929,15529,3186,3416
01104,201307,4084,34.58,5821.5,96021,-,197396,24257,144430,32567,441,197648,92535,267,20488,68492,267,0,3,13070,7415,126,1884,10707,22688,1449,1748,3304,8517,2305,635,13993,1136,3288
01105,209428,4728,46.35,4518.4,101340,-,208705,24344,149055,36026,852,184847,66532,214,10086,53608,185,29,9,7328,2749,332,2400,2647,14401,1313,2018,3717,7707,3913,585,12536,2039,2624
01106,153021,-3766,657.23,232.8,64120,-,132778,18414,103066,31541,516,128940,43844,503,5155,36631,501,2,247,4014,894,223,482,1830,7338,586,803,3346,6197,3120,498,6285,5923,1555
01107,207329,7944,74.93,2767,89793,-,204898,26284,143531,37510,424,183528,74889,217,16801,54987,216,1,7,7527,9267,185,839,6124,17278,1259,1476,3020,8513,2895,587,10763,2048,2884
01108,129720,2002,24.38,5320.8,51837,-,127846,17330,89092,23010,374,115493,43940,176,5592,36987,175,1,1,3332,2259,238,2308,4719,9761,885,757,2259,5070,2532,566,6731,1161,1185
01109,137601,1595,56.92,2417.4,51412,-,132463,18263,94941,24328,218,109322,35673,209,6636,27542,207,2,13,3612,3011,98,165,2994,7598,431,407,1650,5695,2378,344,4750,1032,1286
01110,112783,2681,59.7,1889.2,40142,-,105046,16567,78439,17777,385,90851,30505,240,5571,24344,239,1,2,3849,1720,48,247,2502,7821,412,402,1677,4013,1874,137,4590,621,350
01202,294264,-11047,677.82,434.1,128411,-,251552,34369,189327,70459,547,303878,137432,5251,24570,104723,1006,4245,26,13571,10973,726,2062,8410,28029,3706,1469,9925,16245,6004,1471,19680,6996,2888
01203,142161,-8526,243.14,584.7,60400,-,122971,15082,88088,38984,348,143387,62831,872,12786,46425,334,538,10,4381,8395,419,306,4169,12917,1500,509,4412,7801,2743,691,8471,2487,2748
01204,355004,-4532,747.6,474.9,150384,-,326780,44177,228860,78781,479,354162,163397,4403,31434,125170,4398,5,32,18505,12897,768,2357,8974,35220,4402,1944,8851,20808,7054,1649,24666,8477,2390
01205,98372,-4906,80.65,1219.7,45266,-,80623,11314,61786,25272,230,106546,48895,303,14004,34266,77,226,1,6062,7941,410,706,3164,8477,1224,324,2278,5551,2095,360,7811,1866,322
01206,181516,-10223,222.1,817.3,78230,-,165175,23561,119848,38103,294,182338,80843,1478,16207,60875,443,1035,585,8598,7024,523,897,6121,16638,2599,794,4981,8522,3354,885,11994,3567,2283
01207,170580,-2450,618.94,275.6,73629,-,154044,23868,114343,32364,409,177579,88304,3528,16614,66111,3511,17,66,10470,6078,282,1452,4580,19495,2479,826,5151,9248,3570,881,13276,4871,2051
01208,110715,-1325,421.08,262.9,48358,-,85202,14942,73159,22593,272,110029,50636,1932,10016,37611,1931,1,37,6075,3904,314,1020,2875,11439,1427,487,2858,5302,2273,517,7332,1767,1077
01209,13001,-1790,763.2,17,6275,-,0,1022,6819,5160,6,13262,5926,755,1350,3811,755,0,0,607,743,47,5,220,792,48,20,310,609,269,146,987,358,10
