CODE,POPULATION,AREA,DENSITY,LAKE_AREA,FF_AREA,HABIT_AREA,
dummy,,,,,,,
01101,237627,46.42,5119.1,0,19.57,26.85,26.83
01102,285321,63.57,4488.3,0,0.38,63.19,63.19
01103,261912,56.97,4597.4,0,0.01,56.96,56.96
01104,209584,34.47,6080.2,0,0.06,34.41,34.41
01105,218652,46.23,4729.7,0,19.99,26.24,27.85
01106,141190,657.48,214.7,0,543.72,113.76,113.48
01107,213578,75.1,2843.9,0,46.46,28.64,28.87
01108,127767,24.38,5240.6,0,1.24,23.14,23.13
01109,140999,56.77,2483.7,0,21.08,35.69,35.63
01110,115726,59.87,1933,0,29.77,30.1,30.01
01202,265979,677.86,392.4,0,554.53,123.33,128.38
01203,121924,243.83,500,0,163.74,80.09,80.29
01204,339605,747.66,454.2,0,395.72,351.94,350.22
01205,88564,80.88,1095,0,37.61,43.27,43.27
01206,174742,1362.92,128.2,16.11,1037.69,309.12,293.18
01207,169327,619.34,273.4,0,236.53,382.81,382.2
01208,121226,1427.41,84.9,52.48,949.75,425.18,420.64
01209,8843,763.07,11.6,0,651.42,111.65,108.06
01210,84499,481.02,175.7,0,162.71,318.31,319.22
01211,39077,471,83,82.88,172.18,215.94,223.87
01212,22221,297.83,74.6,0,245.82,52.01,51.84
01213,172737,561.57,307.6,2.1,357.65,201.82,197.04
01214,36380,761.47,47.8,4.67,437.48,319.32,309.94
01215,23035,277.69,83,0,119.93,157.76,154.44
01216,14676,865.04,17,0,728,137.04,137.29
01217,120636,187.38,643.8,0,19.75,167.63,168.06
01218,11105,129.88,85.5,0,93.19,36.69,36.7
01219,23109,830.78,27.8,4.84,651.32,174.62,173.26
01220,19914,1119.22,17.8,0,839.44,279.78,295.93
01221,29048,535.2,54.3,0,336.68,198.52,199.64
01222,9076,302.52,30,0,245.74,56.78,55.38
01223,26917,411.41,65.4,5.72,197.84,207.85,209.81
01224,95648,594.5,160.9,78.48,319.79,196.23,195.1
01225,41192,115.9,355.4,0,13.84,102.06,102.06
01226,17694,78.68,224.9,0,29.84,48.84,49.37
01227,3585,55.95,64.1,0,41.97,13.98,14.03
01228,21909,529.42,41.4,0,314.9,214.52,215.11
01229,22936,600.71,38.2,0,403.31,197.4,198.47
01230,49625,212.21,233.8,0,174.77,37.44,35.62
01231,69702,294.65,236.6,0,197.29,97.36,97.53
01233,34995,444.21,78.8,0,313.29,130.92,122.5
01234,59064,119.05,496.1,0,45.05,74,73.48
01235,57436,722.42,79.5,0,507.09,215.33,217.84
01236,46390,397.44,116.7,0,299.09,98.35,95.18
01303,17278,422.86,40.9,0,263.54,159.32,158.96
01304,3329,78.04,42.7,0,2.15,75.89,75.97
01331,7337,293.25,25,0,269.62,23.63,36.97
01332,4422,187.28,23.6,0,170.87,16.41,14.12
01333,4653,196.75,23.6,0,165.62,31.13,24.84
01334,4547,221.87,20.5,0,199.66,22.21,25.8
01337,28120,216.75,129.7,9.09,125.52,82.14,79.14
01343,4226,110.64,38.2,0,89.3,21.34,20.5
01345,15946,368.79,43.2,0,278.76,90.03,88.45
01346,17252,956.07,18,0,777.97,178.1,178.89
01347,5926,310.76,19.1,0,228.54,82.22,78.32
01361,8248,109.53,75.3,0,82.63,26.9,24.25
01362,4876,547.71,8.9,0,504.87,42.84,42.61
01363,4049,460.58,8.8,0,371.34,89.24,82.85
01364,3906,162.59,24,0,137.38,25.21,21.61
01367,2690,142.97,18.8,0,123.32,19.65,19.77
01370,5628,568.25,9.9,0,446.7,121.55,112.85
01371,8473,638.69,13.3,0,500.09,138.6,138.53
01391,1499,437.18,3.4,0,367.58,69.6,44.06
01392,3137,95.24,32.9,0,80.53,14.71,8.93
01393,3082,345.65,8.9,0,272.8,72.85,44.28
01394,4843,449.78,10.8,0,378.53,71.25,73.46
01395,4958,197.13,25.2,0,145.59,51.54,52.8
01396,2103,114.25,18.4,0,78.16,36.09,35.88
01397,1907,119.84,15.9,0,74.43,45.41,38.94
01398,2294,189.41,12.1,0,156.17,33.24,30.86
01399,3187,231.49,13.8,0,194.11,37.38,36.4
01400,15018,261.34,57.5,0,192.45,68.89,70.58
01401,6224,304.91,20.4,0,218.21,86.7,89.39
01402,13042,70.6,184.7,0,57.03,13.57,13.68
01403,1771,82.28,21.5,0,76.81,5.47,5.57
01404,1004,147.8,6.8,0,138.06,9.74,9.65
01405,2115,238.14,8.9,0,187.39,50.75,50.74
01406,3188,188.36,16.9,0,161.54,26.82,26.67
01407,3498,167.96,20.8,0,127.29,40.67,40.71
01408,19607,140.59,139.5,0,96.71,43.88,39.53
01409,1121,280.09,4,0,262.82,17.27,26.65
01423,7927,81.36,97.4,0,1.42,79.94,79.94
01424,5674,88.19,64.3,0,48.86,39.33,39.62
01425,3479,39.98,87,0,34.54,5.44,5.44
01427,5314,133.74,39.7,0,48.99,84.75,84.35
01428,11076,168.52,65.7,0,18.5,150.02,150.07
01429,12344,203.93,60.5,0,110.11,93.82,93.21
01430,4577,150.4,30.4,0,89.47,60.93,61.66
01431,1985,101.83,19.5,0,49.2,52.63,52.37
01432,6831,495.47,13.8,0,383.76,111.71,110.72
01433,3091,48.64,63.5,0,0.03,48.61,48.61
01434,2513,47.18,53.3,0,2.9,44.28,44.25
01436,2749,191.15,14.4,0,120.64,70.51,69.9
01437,1981,158.7,12.5,0,102.26,56.44,54.45
01438,3181,283.35,11.2,0,205.2,78.15,78.81
01452,7018,139.42,50.3,0,64.19,75.23,76.7
01453,10233,68.5,149.4,0,14.47,54.03,53.94
01454,6689,204.9,32.6,0,134.05,70.85,70.75
01455,3777,86.9,43.5,0,44.37,42.53,42.47
01456,2976,250.13,11.9,0,204.85,45.28,45.02
01457,4044,1049.47,3.9,0,891.5,157.97,157.98
01458,8111,247.3,32.8,0,168.09,79.21,74.48
01459,10292,676.78,15.2,0,361.51,315.27,314.19
01460,10826,237.1,45.7,0,117.68,119.42,119.88
01461,5069,108.65,46.7,0,41.91,66.74,66.4
01462,2555,665.54,3.8,0,567.13,98.41,95.62
01463,1211,571.41,2.1,0,521.34,50.07,48.32
01464,3596,225.11,16,0,143.72,81.39,80.42
01465,3228,130.99,24.6,0,38.05,92.94,90.78
01468,3547,644.2,5.5,0,554.7,89.5,89.25
01469,4659,672.09,6.9,0,578.08,94.01,94.64
01470,832,275.63,3,0,236.92,38.71,38.56
01471,1767,594.74,3,0,511.46,83.28,85.16
01472,1525,767.04,2,0,635.26,131.78,144.95
01481,4497,369.71,12.2,0,321.84,47.87,47.66
01482,3336,627.22,5.3,0,550.57,76.65,76.87
01483,3265,454.6,7.2,0,364.06,90.54,90.33
01484,7327,472.65,15.5,0,383.31,89.34,81.73
01485,1217,279.51,4.4,0,229.4,50.11,50.17
01486,2806,590.8,4.7,0,493.66,97.14,96.83
01487,3243,353.56,9.2,0,203.28,150.28,167.05
01511,2684,589.97,4.5,1.97,460.56,127.44,120.16
01512,3881,401.64,9.7,13.4,304.53,83.71,84.55
01513,1757,398.51,4.4,0,333.32,65.19,66.73
01514,8437,1115.93,7.6,0,902.28,213.65,203.08
01516,4054,520.69,7.8,0.64,280.93,239.12,227.35
01517,2773,81.64,34,0,65.32,16.32,15.89
01518,2303,76.51,30.1,0,49.01,27.5,26.19
01519,2787,105.61,26.4,0,67.16,38.45,38.35
01520,2447,574.1,4.3,4.18,434.08,135.84,136.13
01543,20296,438.41,46.3,0,268.08,170.33,168.85
01544,5008,716.8,7,1.05,610.16,105.59,106.18
01545,12231,737.12,16.6,0,428.37,308.75,307.65
01546,4221,402.76,10.5,0,270.56,132.2,132
01547,5085,286.89,17.7,3.55,138.42,144.92,144.55
01549,5100,190.95,26.7,0,105.88,85.07,92.41
01550,3092,527.27,5.9,0,445.59,81.68,78.34
01552,5362,404.94,13.2,54.22,223.47,127.25,127.02
01555,20873,1332.45,15.7,0,1131.42,201.03,199.95
01559,9231,505.79,18.3,44.9,294.63,166.26,166.04
01560,2721,766.89,3.5,0,671.2,95.69,95.46
01561,3909,362.54,10.8,0,286.15,76.39,81.41
01562,1116,308.08,3.6,0,274.98,33.1,32.98
01563,4525,636.86,7.1,0,479.82,157.04,157.42
01564,7360,343.66,21.4,12.24,137.79,193.63,189.6
01571,4291,233.57,18.4,0,192.62,40.95,42.07
01575,2922,205.01,14.3,31.34,139.43,34.24,34.38
01578,17740,425.64,41.7,4.7,346.55,74.39,73.27
01581,4838,404.61,12,0,305.53,99.08,98.38
01584,9299,180.81,51.4,39.38,80.46,60.97,60.54
01585,8148,237.16,34.4,0,119.73,117.43,115.8
01586,8596,711.36,12.1,0,572.4,138.96,137.74
01601,12378,992.11,12.5,0,763.54,228.57,230.3
01602,5315,743.09,7.2,0,612.89,130.2,129.65
01604,5592,585.81,9.5,0,439.49,146.32,146.11
01607,13075,694.26,18.8,0,566.77,127.49,126.58
01608,4518,364.3,12.4,0,328.23,36.07,37.75
01609,4906,284,17.3,0,247.85,36.15,30.17
01610,23231,1147.55,20.2,0,915.44,232.11,233.07
01631,44807,466.02,96.1,0,130.93,335.09,337.89
01632,6132,259.19,23.7,0,61.07,198.12,197.4
01633,4765,694.23,6.9,0,508.91,185.32,185.33
01634,5542,402.88,13.8,0,239.16,163.72,165.15
01635,6288,1063.83,5.9,0,844.98,218.85,218.87
01636,9599,402.25,23.9,0,178.43,223.82,223.16
01637,18484,513.76,36,0,225.14,288.62,288.96
01638,3966,292.58,13.6,0,165.44,127.14,126.64
01639,3185,176.9,18,0,31.11,145.79,145.61
01641,5738,815.68,7,1.54,570.85,243.29,243.34
01642,7030,596.54,11.8,0,472.17,124.37,123.59
01643,26760,477.64,56,0,160.93,316.71,316.28
01644,6882,371.79,18.5,0,234.44,137.35,137
01645,3182,536.71,5.9,5.55,346.24,184.92,184.88
01646,7358,391.91,18.8,0,220.02,171.89,171.8
01647,6990,1408.04,5,0,1184.04,224,191.36
01648,2482,608.9,4.1,0,514.4,94.5,93.3
01649,4919,729.85,6.7,0,553.63,176.22,176.14
01661,19833,252.66,78.5,1.31,206.69,44.66,47.56
01662,9778,739.26,13.2,32.31,515.47,191.48,191.61
01663,6061,423.63,14.3,3.76,225.22,194.65,192.07
01664,7742,1099.37,7,7.99,729.12,362.26,362.87
01665,7758,774.33,10,98.76,514.13,161.44,161.84
01667,2534,571.8,4.4,0,454.33,117.47,117.14
01668,8068,773.53,10.4,0,670.49,103.04,100.41
01691,15273,1319.63,11.6,0,514.39,805.24,803.31
01692,23774,684.87,34.7,0,329.76,355.11,355.23
01693,5242,624.68,8.4,0,415.52,209.16,208.81
01694,5415,397.72,13.6,0,279.73,117.99,117.9
02201,287648,824.61,348.8,0,565.34,259.27,257.01
02202,177411,524.2,338.4,0,230.21,293.99,294.66
02203,231257,305.54,756.9,0,102.11,203.43,203.31
02204,34284,217.05,158,0,144.14,72.91,74.18
