CODE,POPULATION,AREA,EST2020,EST2025,EST2030,EST2035,EST2040,EST2045,POP2020
dummy,,,,,,,,,
01100,1952356,1121.26,1974801,1976367,1959483,1924460,1870991,1805120,1973395
01101,237627,46.42,250176,259039,264549,266687,265576,261704,248680
01102,285321,63.57,289554,290737,289404,285680,279225,270974,289323
01103,261912,56.97,265450,266542,265394,261908,256072,248709,265379
01104,209584,34.47,212980,214350,213756,211405,207066,201308,211835
01105,218652,46.23,223197,225491,225883,224265,220498,214933,225298
01106,141190,657.48,136143,130103,123342,115718,107107,98161,135777
01107,213578,75.1,215258,214889,212866,209203,203866,197708,217040
01108,127767,24.38,125949,122720,118177,112474,105693,98283,125083
01109,140999,56.77,141486,140345,137711,133690,128513,122601,142625
01110,115726,59.87,114608,112151,108401,103430,97375,90739,112355
01202,265979,677.86,249794,232653,215148,197467,179807,162712,251084
01203,121924,243.83,111129,100236,89561,79253,69422,60424,111299
01204,339605,747.66,329655,316837,301879,285138,266997,248360,329306
01205,88564,80.88,81874,74810,67834,61227,55050,49377,82383
01206,174742,1362.92,166270,156671,146422,135811,124945,114040,165077
01207,169327,619.34,169138,167296,164213,160263,155438,149749,166536
01208,121226,1427.41,116312,110446,104061,97226,89921,82362,115480
01209,8843,763.07,7185,5778,4603,3653,2882,2253,7334
01210,84499,481.02,78591,72377,66101,59865,53640,47586,79306
01211,39077,471,37022,34829,32528,30246,27896,25496,35759
01212,22221,297.83,19968,17749,15593,13537,11627,9861,20114
01213,172737,561.57,170448,166550,161365,155212,148083,140442,170113
01214,36380,761.47,33212,29983,26795,23723,20803,18083,33563
01215,23035,277.69,20254,17618,15173,12947,10912,9092,20413
01216,14676,865.04,12761,10974,9328,7856,6559,5420,12555
01217,120636,187.38,116429,111519,106082,99871,92706,85067,121056
01218,11105,129.88,9555,8114,6812,5685,4690,3819,9698
01219,23109,830.78,21249,19356,17447,15553,13743,12032,21215
01220,19914,1119.22,18121,16344,14614,12970,11392,9895,17858
01221,29048,535.2,27361,25552,23677,21789,19902,18044,27282
01222,9076,302.52,7743,6551,5502,4610,3851,3213,8040
01223,26917,411.41,24461,22005,19610,17330,15190,13210,24636
01224,95648,594.5,96739,96786,95985,94506,92345,89658,97950
01225,41192,115.9,38922,36394,33703,30952,28131,25318,39490
01226,17694,78.68,16210,14687,13176,11720,10310,8978,16486
01227,3585,55.95,2884,2298,1813,1410,1079,813,2989
01228,21909,529.42,20156,18343,16540,14774,13097,11499,20039
01229,22936,600.71,21596,20161,18681,17169,15619,14082,21131
01230,49625,212.21,47150,44290,41122,37845,34485,31170,46391
01231,69702,294.65,69449,68548,67129,65292,63003,60339,70331
01233,34995,444.21,33520,31782,29882,27920,25879,23819,32826
01234,59064,119.05,57339,54990,52264,49371,46222,42907,58171
01235,57436,722.42,55066,52139,48785,45190,41384,37642,56869
01236,46390,397.44,43973,41272,38388,35437,32362,29253,44302
01303,17278,422.86,15718,14194,12736,11346,10007,8675,15916
01304,3329,78.04,3052,2798,2563,2320,2076,1843,3044
01331,7337,293.25,6109,5038,4090,3263,2559,1993,6260
01332,4422,187.28,3742,3131,2592,2104,1682,1324,3794
01333,4653,196.75,4219,3787,3370,2965,2577,2213,4167
01334,4547,221.87,3856,3242,2691,2202,1776,1408,3832
01337,28120,216.75,27228,26055,24696,23155,21466,19691,27686
01343,4226,110.64,3914,3609,3272,2939,2623,2336,3760
01345,15946,368.79,14138,12425,10839,9357,7970,6730,14338
01346,17252,956.07,15600,13995,12446,10960,9535,8199,15826
01347,5926,310.76,5182,4566,4033,3574,3139,2750,5109
01361,8248,109.53,7392,6564,5785,5052,4360,3715,7428
01362,4876,547.71,4239,3628,3067,2547,2086,1686,4306
01363,4049,460.58,3618,3204,2822,2464,2128,1815,3592
01364,3906,162.59,3414,2944,2510,2109,1749,1445,3403
01367,2690,142.97,2305,1974,1671,1400,1154,934,2410
01370,5628,568.25,5082,4628,4208,3795,3385,2988,5072
01371,8473,638.69,7435,6461,5569,4745,4006,3327,7398
01391,1499,437.18,1309,1139,979,835,719,606,1356
01392,3137,95.24,2766,2442,2145,1887,1646,1431,2838
01393,3082,345.65,2805,2563,2345,2141,1953,1763,2791
01394,4843,449.78,4352,3896,3478,3065,2670,2301,4568
01395,4958,197.13,4948,4957,4910,4827,4723,4594,5074
01396,2103,114.25,1923,1763,1607,1459,1313,1170,2045
01397,1907,119.84,1757,1619,1488,1367,1261,1134,1911
01398,2294,189.41,2053,1834,1635,1456,1288,1129,2156
01399,3187,231.49,2857,2535,2246,1986,1744,1516,2941
01400,15018,261.34,14277,13482,12663,11804,10966,10141,15129
01401,6224,304.91,5736,5263,4801,4359,3950,3559,5772
01402,13042,70.6,11604,10249,8987,7827,6790,5834,11648
01403,1771,82.28,1640,1519,1400,1296,1194,1097,1569
01404,1004,147.8,877,758,650,559,474,391,870
01405,2115,238.14,1785,1498,1241,1024,836,682,1831
01406,3188,188.36,2755,2352,1992,1671,1398,1155,2745
01407,3498,167.96,3252,3016,2780,2560,2350,2149,3180
01408,19607,140.59,17851,16108,14430,12838,11295,9847,18000
01409,1121,280.09,1003,888,781,681,591,514,1165
01423,7927,81.36,7176,6489,5854,5214,4559,3893,7319
01424,5674,88.19,5154,4654,4169,3703,3275,2862,5120
01425,3479,39.98,2947,2469,2046,1683,1374,1116,2841
01427,5314,133.74,4767,4240,3748,3276,2843,2443,4822
01428,11076,168.52,10401,9687,8946,8192,7419,6639,10289
01429,12344,203.93,11424,10465,9506,8531,7587,6687,11272
01430,4577,150.4,4290,3966,3632,3293,2958,2623,3691
01431,1985,101.83,1786,1590,1414,1242,1097,951,1732
01432,6831,495.47,6354,5842,5317,4815,4315,3822,6484
01433,3091,48.64,2708,2348,2003,1690,1393,1134,2693
01434,2513,47.18,2227,1972,1732,1505,1299,1112,2329
01436,2749,191.15,2439,2153,1899,1668,1441,1226,2389
01437,1981,158.7,1777,1579,1393,1220,1061,915,1724
01438,3181,283.35,2781,2409,2062,1754,1468,1211,2909
01452,7018,139.42,6758,6393,6018,5663,5288,4906,6567
01453,10233,68.5,10390,10399,10307,10123,9804,9379,10127
01454,6689,204.9,6224,5730,5230,4742,4247,3774,6319
01455,3777,86.9,3429,3078,2743,2418,2116,1835,3520
01456,2976,250.13,2631,2311,2008,1730,1477,1256,2605
01457,4044,1049.47,3521,3008,2537,2140,1787,1485,3500
01458,8111,247.3,7988,7805,7558,7268,6911,6537,8314
01459,10292,676.78,9580,8844,8123,7441,6779,6146,9668
01460,10826,237.1,9991,9160,8309,7470,6639,5848,10348
01461,5069,108.65,4664,4251,3856,3481,3112,2749,4733
01462,2555,665.54,2331,2126,1921,1730,1552,1380,2376
01463,1211,571.41,1005,852,728,612,514,423,1306
01464,3596,225.11,3184,2816,2473,2146,1850,1583,3192
01465,3228,130.99,2940,2613,2322,2048,1779,1524,2926
01468,3547,644.2,3161,2791,2443,2126,1830,1562,3126
01469,4659,672.09,4132,3672,3231,2826,2450,2095,4145
01470,832,275.63,681,571,487,408,341,282,706
01471,1767,594.74,1567,1372,1188,1022,870,736,1528
01472,1525,767.04,1316,1127,961,822,695,582,1370
01481,4497,369.71,3933,3431,2969,2537,2153,1805,3908
01482,3336,627.22,2959,2602,2278,1975,1703,1457,2994
01483,3265,454.6,2814,2413,2050,1739,1462,1216,2936
01484,7327,472.65,6648,5975,5341,4722,4166,3646,6548
01485,1217,279.51,1052,900,769,661,563,474,1080
01486,2806,590.8,2507,2234,1976,1741,1523,1316,2520
01487,3243,353.56,2893,2553,2239,1941,1659,1398,2950
01511,2684,589.97,2524,2352,2189,2033,1872,1713,2611
01512,3881,401.64,3501,3137,2785,2450,2122,1813,3448
01513,1757,398.51,1548,1338,1149,976,818,679,1637
01514,8437,1115.93,7691,6971,6268,5588,4951,4365,7565
01516,4054,520.69,3683,3324,2991,2669,2355,2051,3974
01517,2773,81.64,2413,2089,1803,1543,1307,1096,2509
01518,2303,76.51,1945,1645,1381,1152,954,789,2004
01519,2787,105.61,2420,2088,1801,1551,1321,1114,2458
01520,2447,574.1,2259,2058,1866,1689,1517,1352,2371
01543,20296,438.41,18988,17589,16156,14723,13274,11858,18697
01544,5008,716.8,4433,3907,3398,2922,2494,2104,4373
01545,12231,737.12,11474,10660,9826,9006,8191,7396,11418
01546,4221,402.76,3889,3500,3133,2784,2460,2163,3883
01547,5085,286.89,4771,4444,4106,3782,3452,3140,4623
01549,5100,190.95,4712,4312,3911,3514,3127,2759,4677
01550,3092,527.27,2768,2456,2155,1870,1605,1364,2775
01552,5362,404.94,4837,4302,3794,3318,2863,2448,4875
01555,20873,1332.45,19412,17898,16385,14914,13497,12137,19241
01559,9231,505.79,8422,7623,6865,6153,5466,4800,8270
01560,2721,766.89,2401,2095,1803,1558,1335,1126,2421
01561,3909,362.54,3543,3190,2860,2555,2258,1991,3628
01562,1116,308.08,1043,975,900,842,782,723,1053
01563,4525,636.86,4067,3616,3199,2811,2437,2095,4199
01564,7360,343.66,6810,6250,5699,5181,4667,4154,6775
01571,4291,233.57,3978,3671,3381,3116,2863,2612,3821
01575,2922,205.01,2685,2451,2225,2017,1815,1619,2743
01578,17740,425.64,15976,14213,12455,10760,9180,7770,16212
01581,4838,404.61,4685,4368,4048,3742,3428,3110,4432
01584,9299,180.81,8355,7443,6561,5722,4928,4213,8442
01585,8148,237.16,7519,6874,6236,5620,5035,4491,7340
01586,8596,711.36,7582,6632,5755,4937,4180,3495,7651
01601,12378,992.11,11257,10131,9056,8045,7072,6165,11279
01602,5315,743.09,4850,4396,3968,3561,3173,2816,4776
01604,5592,585.81,5293,4983,4671,4357,4049,3729,5309
01607,13075,694.26,11719,10422,9193,8019,6912,5879,12074
01608,4518,364.3,3995,3482,3015,2587,2196,1839,4043
01609,4906,284,4443,3989,3560,3151,2748,2362,4374
01610,23231,1147.55,21069,18911,16817,14822,12950,11197,21517
01631,44807,466.02,44326,43428,42279,40983,39517,37785,43576
01632,6132,259.19,5824,5514,5217,4946,4659,4362,5848
01633,4765,694.23,4406,4051,3728,3432,3147,2862,4778
01634,5542,402.88,5355,5133,4910,4703,4478,4251,5266
01635,6288,1063.83,5808,5335,4882,4449,4046,3667,5817
01636,9599,402.25,9162,8682,8189,7707,7235,6753,9094
01637,18484,513.76,17900,17172,16373,15559,14637,13620,18048
01638,3966,292.58,3825,3711,3569,3406,3236,3067,3884
01639,3185,176.9,3070,2940,2809,2692,2568,2425,3080
01641,5738,815.68,5449,5134,4827,4532,4258,3977,5420
01642,7030,596.54,6374,5728,5104,4510,3939,3392,6387
01643,26760,477.64,26350,25937,25349,24651,23805,22841,25766
01644,6882,371.79,6223,5574,4940,4333,3742,3195,6294
01645,3182,536.71,2866,2573,2311,2068,1839,1622,3022
01646,7358,391.91,6570,5801,5061,4368,3724,3130,6618
01647,6990,1408.04,6354,5729,5142,4585,4073,3603,6563
01648,2482,608.9,2246,2025,1815,1615,1439,1275,2264
01649,4919,729.85,4375,3848,3359,2920,2518,2149,4387
01661,19833,252.66,18824,17652,16402,15059,13605,12121,19105
01662,9778,739.26,8957,8123,7305,6511,5770,5049,8892
01663,6061,423.63,5570,5091,4643,4200,3765,3349,5507
01664,7742,1099.37,7172,6575,6002,5457,4924,4401,7230
01665,7758,774.33,7117,6470,5824,5199,4602,4045,6955
01667,2534,571.8,2421,2277,2140,1991,1825,1651,2558
01668,8068,773.53,6909,5848,4904,4054,3297,2657,7289
01691,15273,1319.63,14554,13746,12915,12064,11150,10212,14380
01692,23774,684.87,23311,22611,21803,20853,19739,18480,23010
01693,5242,624.68,4853,4456,4035,3623,3214,2823,5023
01694,5415,397.72,4824,4286,3788,3312,2861,2434,4722
01695,0,250.57,0,0,0,0,0,0,0
01696,0,535.35,0,0,0,0,0,0,0
01697,0,954.55,0,0,0,0,0,0,0
01698,0,1442.82,0,0,0,0,0,0,0
01699,0,968.32,0,0,0,0,0,0,0
01700,0,756.61,0,0,0,0,0,0,0
01223X,0,94.84,0,0,0,0,0,0,0
02201,287648,824.61,273152,256812,239472,221365,202508,183528,275192
02202,177411,524.2,169672,160705,151287,141559,131389,120920,168466
02203,231257,305.54,223172,213146,201803,189274,175916,162127,223415
02204,34284,217.05,32032,29741,27468,25111,22704,20340,31946
02205,55181,404.18,51385,47427,43527,39640,35751,31867,51415
02206,63429,725.65,60555,57248,53692,49975,46031,41907,60378
02207,40196,119.87,38589,36803,34956,33002,30969,28757,39152
02208,58493,864.16,55599,52417,49015,45407,41637,37851,54103
02209,33316,253.55,29677,26163,22900,19931,17131,14491,30934
02210,32106,346.01,30224,28238,26245,24259,22213,20154,30567
02301,11142,217.09,10025,8917,7834,6789,5782,4846,10126
02303,2756,125.27,2332,1950,1609,1306,1034,798,2334
02304,2896,80.84,2669,2429,2183,1945,1705,1477,2540
02307,6198,230.29,5327,4511,3773,3119,2534,2024,5401
02321,10126,343.08,8882,7719,6647,5688,4795,3959,9044
02323,8429,488.89,7304,6244,5278,4415,3638,2956,7346
02343,1415,246.02,1238,1088,953,827,717,611,1265
02361,15179,37.29,14331,13400,12460,11502,10519,9522,14573
02362,9676,163.43,8443,7292,6225,5274,4417,3649,8665
02367,7783,22.35,7299,6788,6259,5712,5162,4618,7326
02381,13935,41.88,12565,11214,9917,8691,7521,6428,12700
02384,13392,46.43,12501,11577,10665,9757,8848,7940,12074
02387,11187,216.32,9722,8344,7090,5966,4947,4021,9657
02401,13524,81.68,12663,11714,10735,9770,8802,7829,12374
02402,15709,337.23,14416,13126,11843,10611,9406,8227,14556
02405,10423,83.89,10236,9945,9591,9199,8764,8278,10447
02406,4535,126.38,4193,3836,3479,3146,2824,2517,4229
02408,17955,326.5,16789,15545,14329,13120,11896,10657,16428
02411,10536,252.68,9976,9382,8791,8199,7583,6955,10367
02412,24222,71.96,23975,23551,22992,22243,21334,20275,24273
02423,5227,52.1,4739,4251,3782,3349,2922,2520,4718
02424,6607,295.27,6139,5663,5199,4741,4260,3778,5955
02425,1976,69.55,1742,1521,1311,1118,934,774,1636
02426,2148,135.04,1873,1627,1407,1200,1013,843,1788
02441,10135,151.79,9069,8042,7083,6183,5347,4563,9082
02442,17433,177.67,16113,14764,13404,12052,10681,9304,16042
02443,5554,241.98,4980,4418,3893,3420,2967,2529,4968
02445,18312,153.12,16806,15276,13817,12422,11050,9667,16809
02446,14025,94.01,13319,12502,11715,10906,9987,8970,13496
02450,2509,150.77,2248,1996,1764,1544,1336,1133,2197
03201,297631,886.47,293735,287099,278710,268708,256886,243694,289731
03202,56676,1259.15,52926,49071,45176,41293,37441,33688,50369
03203,38058,322.5,35289,32486,29666,26846,24060,21334,34728
03205,97702,908.39,92969,87724,82324,76780,71069,65313,93193
03206,93511,437.55,92373,90511,88168,85373,82033,78235,93045
03207,35642,623.5,33925,32085,30145,28166,26111,23950,33043
03208,28062,825.97,26328,24506,22689,20958,19235,17498,25366
03209,121583,1256.42,114777,107577,100322,93189,85744,78013,111932
03210,19758,231.94,18443,17084,15721,14313,12900,11486,18262
03211,36802,440.34,34374,31331,28509,25801,23266,20909,32078
03213,27611,420.42,25504,23387,21299,19258,17255,15281,25513
03214,26355,862.3,23845,21382,19029,16826,14680,12574,24023
03215,119422,993.3,113368,106623,99778,92975,85931,78750,112937
03216,55463,182.46,56058,55998,55255,53935,52072,49824,55579
03301,16981,608.82,15842,14636,13422,12222,10999,9793,15731
03302,6344,434.96,5615,4914,4265,3651,3077,2545,5634
03303,13692,360.46,12380,11082,9858,8719,7629,6563,12285
03321,32614,238.98,31591,30337,28882,27295,25516,23633,32147
03322,27678,67.32,27446,27191,26746,26115,25247,24198,28056
03366,5880,590.74,5181,4509,3909,3366,2883,2431,5134
03381,15895,179.76,15327,14638,13894,13148,12349,11474,15535
03402,7868,63.39,7320,6730,6159,5607,5045,4483,7252
03441,5720,334.84,5133,4569,4057,3594,3153,2730,5045
03461,11759,200.42,10841,9911,8959,8011,7094,6220,11004
03482,15826,262.81,14474,13112,11749,10448,9208,8037,14320
03483,9841,992.36,8940,8048,7216,6447,5720,5014,8726
03484,3466,156.19,3135,2811,2502,2200,1909,1632,3059
03485,2795,69.66,2536,2271,2017,1781,1547,1319,2487
03501,9333,245.82,8441,7554,6709,5926,5177,4438,8421
03503,4149,80.8,3872,3485,3121,2762,2426,2100,3936
03506,5865,134.02,5289,4712,4141,3602,3097,2610,5378
03507,16693,302.92,15254,13813,12408,11061,9744,8450,15091
03524,12919,300.03,11663,10451,9336,8297,7285,6299,11494
04100,1082159,786.3,1084620,1071693,1048353,1015478,972871,922655,1096704
04101,310183,302.24,310562,307315,301221,292668,281598,268248,311590
