CODE,POPULATION,AREA,OFFICE,WORKER,O_PRIVATE,O_1ST,O_2ND,O_3RD,W_PRIVATE,W_1ST,W_2ND,W_3RD,ADD_VALUE,SALES_EST,SALES_AGRI,SALES_MINI,SALES_CONS,SALES_MANU,SALES_SUPP,SALES_INFO,SALES_TRAN,SALES_SALE,SALES_FINA,SALES_REAL,SALES_RESE,SALES_ACCO,SALES_LIVI,SALES_EDUC,SALES_MEDI,SALES_COMP,SALES_OSERV,MANU_OFFICE,MANU_WORKER,MANU_SHIP,MANU_ADD,SHIP_FOOD,SHIP_TEXT,SHIP_WOOD,SHIP_PAPE,SHIP_CHEM,SHIP_PETR,SHIP_LEAT,SHIP_META,SHIP_MACH,SHIP_ELEC,SHIP_VEHI,SHIP_OMANU,SL_OFFICE,SL_WORKER,SL_SALES,WH_OFFICE,WH_WORKER,WH_SALES,RE_OFFICE,RE_WORKER,RE_SALES,RE_AREA
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01101,237627,46.42,25288,291823,22135,31,1090,21014,291823,313,16582,274928,1562868,12743860,5469,0,736806,76564,8453,601362,212363,5366706,1432741,475622,270979,249822,303938,47349,2509596,17860,428230,95,1851,2667431,1198588,953776,95239,0,1072782,0,10064,0,18838,138459,0,0,31426,4126,43496,4979870,1707,20501,4315966,2419,22995,663904,493860
01102,285321,63.57,9323,103752,8835,8,1344,7483,103752,61,10391,93300,442751,2370412,284,0,228007,31411,820,32040,40334,899842,96219,75317,41198,40775,68918,89432,630525,8673,86618,94,1342,2204976,889824,1127842,59393,77209,254292,0,27299,136409,185200,0,24600,0,88689,1613,17358,806281,510,3937,527440,1103,13421,278841,285992
01103,261912,56.97,8791,97360,8485,4,1623,6858,97360,23,17556,79781,411807,1961550,X,0,216308,119952,X,17133,76425,1087659,37230,54683,43621,25130,69138,14478,133730,16408,45993,219,5185,10631091,4435899,2737989,180799,82711,1167568,0,1061152,547091,2581033,710382,449657,622166,413012,1901,21866,1014912,829,8705,707737,1072,13161,307175,278496
01104,209584,34.47,8089,87892,7786,8,1340,6438,87892,76,15463,72353,402609,2239831,1685,0,215755,120629,X,13770,149368,1363358,71334,44678,25727,21477,52339,6195,97359,X,51068,200,5337,11216879,3961267,7557318,72237,484382,870648,133928,219695,94385,897805,382031,127354,0,257936,1763,18517,1180012,944,9881,986555,819,8636,193457,135359
01105,218652,46.23,6191,57462,5993,6,657,5330,57462,54,6933,50475,325254,1022149,516,0,135617,26809,X,35592,14699,484132,38182,33088,25177,18210,56368,24149,91624,X,32358,49,1797,2505938,1284266,2012913,28661,92879,114575,0,0,0,0,0,0,0,156693,1097,11638,457051,353,2681,281902,744,8957,175150,182016
01106,141190,657.48,3580,30888,3464,9,414,3041,30888,65,2807,28016,100487,331209,271,X,40863,6108,X,504,8580,119489,16427,7796,4467,24130,25510,10056,54990,3907,6302,30,340,430292,173590,129893,0,39012,0,0,0,165797,0,0,0,0,0,574,5764,112979,86,356,10493,488,5408,102486,117962
01107,213578,75.1,6907,67343,6652,10,949,5693,67343,93,12654,54596,282945,1451819,209,0,94512,166971,X,2628,48446,825822,28019,38444,15051,18791,73838,9106,95711,X,28980,221,6723,15802325,7270442,5626315,0,318764,2615690,982167,314129,135997,3954746,769419,344962,0,64330,1290,14541,754254,449,4965,547275,841,9576,206978,210677
01108,127767,24.38,2938,38463,2847,4,258,2585,38463,42,4276,34145,153488,740720,2609,0,43064,52412,1272,27003,99098,285203,39225,29790,16315,11994,37283,10645,64752,4755,15301,33,2411,4939533,1576270,4445868,0,51229,153022,0,0,0,0,0,0,0,162215,644,7367,268126,153,1430,151477,491,5937,116648,156078
01109,140999,56.77,3408,34175,3274,2,583,2689,34175,73,5011,29091,120142,446985,X,X,40986,45326,X,418,22534,174822,17720,8044,2814,10261,30968,12028,70893,3174,5438,89,2209,4000509,1310539,1195445,0,173598,832037,0,329213,0,156308,219328,65924,778023,46609,566,6315,163507,117,717,53514,449,5598,109993,150463
01110,115726,59.87,3074,29753,2980,14,499,2467,29753,94,4135,25524,107585,475123,674,0,51714,15165,X,947,39127,239697,11970,7455,5017,10019,33293,6530,41179,X,11301,23,877,1383044,697004,549965,0,0,0,0,0,0,0,0,0,0,0,593,7065,219018,135,1041,83795,458,6024,135223,180799
01202,265979,677.86,13235,112081,12918,40,1716,11162,112081,401,17850,93830,431917,2093688,3485,294,178677,217036,44648,25888,79301,838577,215931,53170,18180,67368,105232,19330,146967,14777,64829,313,8217,20145873,6381987,11661633,165024,338718,468396,578988,0,172035,1003624,1010620,1081325,3333394,91916,2875,21240,780214,702,5291,451239,2173,15949,328975,395700
01203,121924,243.83,5862,50240,5677,10,825,4842,50240,145,10920,39175,190229,787814,1196,0,41882,196115,99,1800,56853,277884,34494,14712,5018,21899,46205,9264,62230,4576,13589,242,7240,18824243,6909967,11832134,337556,474528,1122257,591384,1944266,536840,1315803,482396,0,0,0,1382,9116,260260,302,1778,130469,1080,7338,129791,151421
01204,339605,747.66,14940,139204,14493,73,2125,12295,139204,735,22102,116367,548729,2611734,13799,X,254196,231123,X,22626,99985,1161645,243305,48775,27537,55728,127301,42286,175032,16559,82743,389,9185,21563982,7484358,7913140,924279,1279346,4204301,434026,1056119,597743,1511409,1630490,221900,229246,167746,3101,27821,1063246,889,8077,631532,2212,19744,431714,540351
01205,88564,80.88,4261,42879,4150,1,648,3501,42879,28,12686,30165,185663,1418591,X,0,94681,780561,X,9449,58670,249999,43130,14446,10782,16292,25029,8699,46388,4207,53462,129,7388,77393755,11803277,402291,0,29670,52734,1651661,0,1348381,42918895,559741,0,837008,0,829,6282,229900,210,1389,130450,619,4893,99449,112061
01206,174742,1362.92,8562,70112,8268,46,1062,7160,70112,572,11865,57675,282398,1582005,8963,7764,119439,273404,7016,13205,83265,669282,136923,26886,14885,34083,51025,8242,85078,5676,36870,191,5214,26104267,8848938,11097001,65950,263499,8094165,4360126,519630,261946,552504,552441,0,249664,26376,1636,13106,534749,468,3549,335967,1168,9557,198782,226834
01207,169327,619.34,8898,78576,8804,74,1210,7520,78576,739,12266,65571,329228,1688828,13579,430,178160,157528,3451,14542,42233,731252,186806,28672,28994,46086,91786,9859,106549,12098,36803,161,4933,14274376,6150882,7001049,97470,913041,807340,0,0,245464,622911,688740,3640391,59074,64427,1881,16177,651038,549,4792,393412,1332,11385,257627,304226
01208,121226,1427.41,5714,49853,5516,148,744,4624,49853,1244,8449,40160,203317,954386,14404,361,93843,84740,42908,10133,34804,405634,76510,15254,8601,20643,44812,8757,57185,10421,25376,127,2999,7563294,2609782,2453605,0,650778,298167,986069,206365,164212,437564,289524,0,124134,81648,1200,9658,353092,358,2932,195169,842,6726,157924,186901
01209,8843,763.07,439,2921,435,4,48,383,2921,39,918,1964,10752,32930,284,0,2518,11253,X,X,778,8738,374,192,56,2214,1352,64,2964,857,1168,16,689,1120077,527586,375280,0,0,0,0,0,0,0,0,0,0,0,108,457,8373,5,12,X,103,445,X,8615
01210,84499,481.02,3303,28621,3230,96,422,2712,28621,801,5149,22671,96066,480436,7964,X,42855,75313,X,1941,28308,169945,54199,9447,5625,9422,22675,2721,30318,8611,10249,66,2555,7384059,2568016,3461475,0,0,819934,0,876815,115627,237569,148835,0,0,0,647,5196,155733,120,992,67319,527,4204,88413,113517
01211,39077,471,1888,15757,1861,59,278,1524,15757,817,3096,11844,59273,332838,19770,X,28249,56693,X,460,7018,77268,13472,2850,3557,8100,80569,3927,18685,7175,4970,58,1580,5280473,1307627,4860553,0,0,26812,0,0,50615,76676,0,0,30010,0,362,2485,63938,63,413,20551,299,2072,43387,40540
01212,22221,297.83,1134,8065,1107,5,131,971,8065,57,1834,6174,29133,137073,631,X,18213,11572,X,541,8564,60205,8687,1829,1276,2317,9969,261,6731,1560,4348,23,825,1140220,476002,999443,0,0,0,0,0,94459,0,0,0,0,0,252,1499,51477,52,266,24031,200,1233,27446,29554
01213,172737,561.57,7578,78882,7339,20,1293,6026,78882,516,19786,58580,370424,2868801,2063,11393,170805,1493112,11339,9485,201484,603022,84576,31490,17220,29614,70096,7788,70490,9758,45066,214,11016,147610116,34376059,6398541,0,2053754,17813656,1833595,142646,1300521,5569890,1338667,0,25681255,84469,1407,13275,528486,384,3241,311700,1023,10034,216786,264555
01214,36380,761.47,1976,15156,1936,26,317,1593,15156,390,3917,10849,53179,321588,7520,94,38053,53951,411,798,9638,142369,21490,2874,2538,7566,15258,799,8044,3793,6391,75,1758,5269299,1398292,4695474,23546,0,0,0,0,96484,0,0,0,0,0,399,3076,132134,129,770,76111,270,2306,56023,62308
01215,23035,277.69,977,7368,970,34,176,760,7368,207,1740,5421,28134,98811,1402,5353,14325,16300,X,X,4423,27833,3496,1413,997,2646,3855,330,9943,4250,1996,45,781,1607435,648393,365889,49321,30415,0,0,646600,87605,123097,0,0,0,0,173,1037,26022,25,155,9767,148,882,16254,21434
01216,14676,865.04,643,4891,639,20,86,533,4891,243,1615,3033,20155,57266,2021,2657,4457,16687,X,X,1171,14138,3968,157,106,1487,3439,354,4904,406,1273,25,1080,1649988,890216,290937,0,80064,0,0,0,0,0,983583,0,0,0,139,734,12754,17,75,1284,122,659,11470,17058
01217,120636,187.38,3434,33426,3351,40,547,2764,33426,449,6783,26194,117687,460654,3054,0,42052,96192,5451,3252,19685,156541,16073,10061,9645,8371,20584,20868,30080,3668,15076,93,3582,8750501,3212056,3417571,0,239620,2700684,0,161703,292643,1052190,123520,294253,0,65178,621,6307,140267,122,841,38677,499,5466,101590,115212
01218,11105,129.88,431,4069,431,4,78,349,4069,44,1640,2385,15027,53927,579,X,7407,24452,0,X,2025,10793,724,178,88,713,474,4,5076,250,963,25,1148,2425670,741224,461062,0,613403,0,0,0,442681,0,0,0,0,0,101,470,10402,6,26,1617,95,444,8785,11962
01219,23109,830.78,1276,9289,1254,18,209,1027,9289,254,2708,6327,35965,223138,12634,X,13274,55580,X,345,6058,95315,7234,1961,1916,4022,9756,445,6210,3939,4322,63,1596,4901456,1278718,4225737,0,380409,0,0,0,108965,0,0,0,0,0,260,1670,91340,61,255,59855,199,1415,31485,35818
01220,19914,1119.22,1083,7540,1069,42,163,864,7540,516,1659,5365,32560,109000,11327,X,17236,14804,X,279,2669,40176,3698,934,1098,3281,4014,272,3710,3273,1890,34,448,1449635,517321,832695,8431,223265,11196,0,0,183647,25034,0,0,0,0,226,1361,34542,35,146,7417,191,1215,27125,40177
01221,29048,535.2,1420,10169,1404,20,159,1225,10169,152,1484,8533,35528,152999,2067,X,15250,18807,X,472,8412,65588,10825,2312,916,3826,8595,570,7783,2578,4641,26,531,1835331,639033,94453,0,162798,1345226,0,0,98630,0,0,0,0,34872,318,2326,62290,57,371,20222,261,1955,42069,54823
01222,9076,302.52,396,3025,393,10,67,316,3025,197,852,1976,9489,48530,2442,X,6226,13002,X,0,1716,15078,311,699,390,1149,892,X,2203,447,958,21,526,1277080,362127,96477,0,0,0,0,95452,0,119848,0,0,0,0,98,594,14720,13,59,4431,85,535,10289,17263
01223,26917,411.41,1468,10427,1439,51,258,1130,10427,440,3168,6819,42901,293405,7378,498,11458,71619,529,506,34288,116814,14346,1039,722,3101,8670,312,6366,7706,8051,87,2054,6402196,1323158,5958304,0,56389,0,0,0,82015,0,0,0,136051,0,306,1961,112093,70,374,80909,236,1587,31183,36917
01223X,0,94.84,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,0,#N/A,0,0,0,#N/A,0,0,0,#N/A,0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01224,95648,594.5,3369,39568,3157,39,391,2727,39568,565,9148,29855,207118,814360,12280,X,44944,246788,X,950,61560,213495,28006,78585,12175,24047,36351,4633,22092,2662,25759,95,6763,23997813,10619772,5984991,0,86002,194517,1636954,448148,566412,881418,0,10338735,1932658,0,684,6756,192567,112,913,52058,572,5843,140509,125081
01225,41192,115.9,1911,14647,1882,14,256,1612,14647,164,2334,12149,52527,225661,2038,X,31856,13617,X,835,8493,98816,19728,3043,2606,7769,9764,1814,15127,3516,6084,26,545,1332341,469250,279979,0,0,0,0,0,125447,120039,0,0,0,0,411,3284,91816,87,584,34212,324,2700,57604,75290
01226,17694,78.68,830,7236,825,7,136,682,7236,106,1866,5264,26111,190216,562,X,18048,21673,60055,X,3797,58944,1277,1391,823,2776,8045,203,4356,4834,3374,24,666,2089024,605707,1286885,0,0,0,346838,0,0,0,0,0,0,0,182,1545,47138,35,374,24316,147,1171,22822,30158
01227,3585,55.95,132,801,129,1,21,107,801,0,191,610,3010,12566,X,X,1606,795,0,X,449,5990,127,X,0,307,88,31,1377,74,401,2,44,X,X,0,0,0,0,0,0,0,0,0,0,0,0,31,118,5763,2,11,X,29,107,X,828
01228,21909,529.42,1039,7890,1030,31,130,869,7890,264,991,6635,29618,99799,2667,X,9710,6075,122,X,3430,45440,5856,1742,1365,2738,2917,1997,10243,1354,3705,20,274,544195,213821,300692,0,0,0,0,0,135130,0,0,0,0,0,225,1445,38833,34,173,10291,191,1272,28542,37925
01229,22936,600.71,1167,9602,1147,36,120,991,9602,550,1303,7749,33917,135139,4713,X,16741,7976,X,X,7109,44951,7550,2110,596,10928,2373,698,11831,9910,7231,26,376,709073,229906,256072,0,136298,0,0,0,110949,0,0,0,0,0,255,1613,40418,38,152,10300,217,1461,30119,33016
01230,49625,212.21,1562,13712,1542,7,299,1236,13712,36,2486,11190,45895,181750,2054,0,22685,15288,0,163,6863,66801,2305,2975,700,22120,12824,3130,17111,1215,5514,42,754,1224475,559747,353636,0,0,0,0,0,358513,78070,0,0,0,0,303,2594,55225,53,368,16736,250,2226,38489,57248
01231,69702,294.65,1950,22023,1852,21,283,1548,22023,216,6078,15729,83862,422015,2035,X,28729,148782,X,706,24412,134257,11978,5065,3582,7628,15650,6781,25269,2101,4886,85,4514,14589995,5223919,8645816,0,0,1512942,0,316033,660006,1634737,0,918706,0,0,358,3721,121924,58,732,64129,300,2989,57796,78213
01233,34995,444.21,1393,11793,1372,22,173,1177,11793,251,1785,9757,41558,214641,6583,X,17948,24700,X,199,2480,48418,8604,3243,1573,7195,11458,338,20803,3135,2562,30,683,2437449,771501,2255187,0,0,14012,0,0,138552,0,0,0,0,0,301,2232,45023,41,263,5502,260,1969,39520,53334
01234,59064,119.05,1975,24321,1907,12,335,1560,24321,119,4589,19613,104140,490874,4460,X,22428,94050,X,85,59630,227587,10958,5490,1039,4834,15724,4049,23750,1411,15370,74,3248,8721540,3026326,1438191,0,0,710478,1735952,627597,428279,754589,639025,650445,630864,423857,428,4961,209562,96,1337,124114,332,3624,85447,119995
01235,57436,722.42,2158,26035,2111,17,517,1577,26035,178,6604,19253,101982,515949,3099,X,30099,121697,X,1233,68709,228366,5905,7048,3500,4005,7627,3563,17982,4168,8686,128,3959,11479872,3677437,3671864,0,962660,148839,0,636180,256054,4040648,560512,0,303551,260157,361,4297,204237,117,1963,161654,244,2334,42583,57699
01236,46390,397.44,1748,16712,1706,14,338,1354,16712,154,4830,11728,67901,286790,2259,2909,31061,63827,X,X,19618,121117,7124,2911,2149,4815,6192,393,14315,3335,4726,65,2532,5517922,1912902,1806920,272322,364387,0,0,140967,2176223,178395,171533,0,0,0,401,3309,112198,88,758,53185,313,2551,59014,59819
01303,17278,422.86,607,5617,597,49,89,459,5617,305,1542,3770,27344,88218,4640,0,7859,28164,X,X,1609,21701,2487,1036,1355,1323,2725,7556,3074,3404,1081,11,1069,2760810,1475818,-,-,-,-,-,-,-,-,-,-,-,-,103,791,19215,13,100,3969,90,691,15245,8646
01304,3329,78.04,97,889,96,24,12,60,889,167,168,554,3334,11963,1094,0,2409,187,0,0,182,3508,X,0,0,239,93,X,1589,X,72,3,22,17992,6449,-,-,-,-,-,-,-,-,-,-,-,-,14,97,2173,2,2,X,12,95,X,1202
01331,7337,293.25,351,2065,350,3,71,276,2065,42,811,1212,5650,20323,311,0,3392,4862,0,0,312,7177,1082,66,13,497,758,121,1259,244,230,16,436,355615,99532,-,-,-,-,-,-,-,-,-,-,-,-,104,393,6849,4,14,1037,100,379,5812,6529
01332,4422,187.28,255,1546,252,5,55,192,1546,29,589,928,5775,17551,801,0,3198,6227,X,X,163,3905,170,63,X,157,511,24,864,705,751,12,279,426978,55913,-,-,-,-,-,-,-,-,-,-,-,-,62,242,3696,4,19,703,58,223,2992,3425
01333,4653,196.75,182,1471,181,7,49,125,1471,56,706,709,9478,84423,587,0,5293,5752,X,X,X,5328,X,559,X,412,83,36,465,980,563,11,327,524655,381847,-,-,-,-,-,-,-,-,-,-,-,-,31,162,4865,6,48,2652,25,114,2213,2272
01334,4547,221.87,250,1268,247,3,51,193,1268,23,357,888,4254,16849,366,0,5164,1710,0,X,775,5592,325,376,33,493,309,X,994,399,231,7,87,147892,66037,-,-,-,-,-,-,-,-,-,-,-,-,55,310,5293,2,7,X,53,303,X,7244
01337,28120,216.75,904,8157,876,11,189,676,8157,97,1967,6093,28080,90368,4953,X,13467,18837,X,X,6396,22123,346,2517,1858,2987,3099,165,8460,2515,2149,27,914,1743186,875222,-,-,-,-,-,-,-,-,-,-,-,-,154,1104,19308,29,131,5691,125,973,13617,15489
01343,4226,110.64,153,1073,152,3,43,106,1073,20,446,607,4180,22002,855,0,1485,10084,X,0,225,6532,X,0,0,533,426,X,1182,269,255,12,233,895322,122758,-,-,-,-,-,-,-,-,-,-,-,-,35,165,6434,2,11,X,33,154,X,5454
01345,15946,368.79,866,6137,859,20,203,636,6137,161,2474,3502,25191,139401,2102,X,8324,60117,1998,X,4254,42480,6001,283,301,1973,2897,158,4093,2351,1940,67,1754,5836573,1472887,-,-,-,-,-,-,-,-,-,-,-,-,183,920,40190,30,179,21954,153,741,18236,14549
