CODE,POPULATION,POP_INCREASE,AREA,DENSITY,HOUSE,HOU_INCREASE,DID_POPULATION,POP_U15,POP_O15,POP_O65,FOREIGNER,DAYTIME,WORKER,1ST_IND,2ND_IND,3RD_IND,IND_AGRI,IND_MANU,IND_SALE,IND_ACCO,IND_MEDI
dummy,,,,,,,,,,,,,,,,,,,,,
01101,248680,11053,46.42,5357.2,141429,9423,246573,23868,157719,57544,2413,,,,,,,,,,
01102,289323,4002,63.57,4551.3,139675,6013,280178,33524,174146,77275,2770,,,,,,,,,,
01103,265379,3467,56.97,4658.2,131188,6763,255174,29912,160813,68282,1655,,,,,,,,,,
01104,211835,2251,34.47,6145.5,108233,3625,208075,22500,135635,53160,1094,,,,,,,,,,
01105,225298,6646,46.23,4873.4,118650,8479,224027,23432,142582,57056,1435,,,,,,,,,,
01106,135777,-5413,657.48,206.5,62134,843,116193,13291,72469,47992,580,,,,,,,,,,
01107,217040,3462,75.1,2890,103849,6099,214749,24626,129043,59960,975,,,,,,,,,,
01108,125083,-2684,24.38,5130.6,57289,1704,123339,12724,71427,40922,670,,,,,,,,,,
01109,142625,1626,56.77,2512.3,61080,3747,138048,17217,78885,44986,467,,,,,,,,,,
01110,112355,-3371,59.87,1876.6,45634,628,109681,14272,63005,34065,575,,,,,,,,,,
01202,251084,-14895,677.87,370.4,121793,-2157,216044,23560,134953,89257,989,,,,,,,,,,
01203,111299,-10625,243.83,456.5,52817,-2649,92939,9169,55643,45426,552,,,,,,,,,,
01204,329306,-10299,747.66,440.4,156195,448,306545,34691,178060,112411,1082,,,,,,,,,,
01205,82383,-6181,81.01,1016.9,41766,-1850,68514,7769,43398,30330,380,,,,,,,,,,
01206,165077,-9665,1363.29,121.1,80349,-1729,148153,16634,90595,56355,815,,,,,,,,,,
01207,166536,-2791,619.34,268.9,80175,2468,151326,19073,96804,49000,717,,,,,,,,,,
01208,115480,-5746,1427.41,80.9,55188,-1014,77537,12014,63217,38841,402,,,,,,,,,,
01209,7334,-1509,763.07,9.6,3807,-732,0,411,3093,3828,87,,,,,,,,,,
01210,79306,-5193,481.02,164.9,35584,-571,47022,7859,42391,28880,196,,,,,,,,,,
01211,35759,-3318,471,75.9,17253,-782,23129,3731,20405,11259,321,,,,,,,,,,
01212,20114,-2107,297.84,67.5,9816,-586,14870,1711,9981,7425,134,,,,,,,,,,
01213,170113,-2624,561.57,302.9,80130,1832,142122,20426,96847,50022,722,,,,,,,,,,
01214,33563,-2817,761.47,44.1,16060,-426,26159,3484,18920,11025,435,,,,,,,,,,
01215,20413,-2622,277.69,73.5,9434,-739,9671,1539,10169,8642,44,,,,,,,,,,
01216,12555,-2121,865.04,14.5,6055,-807,5364,845,5705,5995,17,,,,,,,,,,
01217,121056,420,187.38,646,53977,1994,110103,13400,69555,36783,635,,,,,,,,,,
01218,9698,-1407,129.88,74.7,4494,-486,0,603,4280,4669,67,,,,,,,,,,
01219,21215,-1894,830.67,25.5,11214,87,14294,1971,11515,7697,529,,,,,,,,,,
01220,17858,-2056,1119.22,16,8184,-466,10468,1652,8803,7350,76,,,,,,,,,,
01221,27282,-1766,535.2,51,12810,-276,17889,3018,15232,8747,50,,,,,,,,,,
01222,8040,-1036,302.52,26.6,3816,-438,0,655,3566,3819,15,,,,,,,,,,
01223,24636,-2281,411.41,59.9,11153,-230,14007,2396,13370,8648,306,,,,,,,,,,
01223X,0,0,94.84,0,0,0,0,0,0,0,0,,,,,,,,,,
01224,97950,2302,594.5,164.8,43809,3171,84325,13012,62066,22690,704,,,,,,,,,,
01225,39490,-1702,115.9,340.7,18688,37,28615,3995,21161,13821,109,,,,,,,,,,
01226,16486,-1208,78.68,209.5,7599,-259,5033,1388,8138,6404,29,,,,,,,,,,
