CODE,POPULATION,NOMOVE,MOVEIN_JP,MOVEIN_ABR,MOVEIN_UNK,MOVEOUT_JP,UNKNOWN
dummy,,,,,,,
01101,248680,125131,67985,1057,165,62483,54342
01102,289323,182752,64001,1385,132,59847,41053
01103,265379,158972,61432,573,142,59067,44260
01104,211835,123241,51787,455,105,50520,36247
01105,225298,130244,57610,583,137,53926,36724
01106,135777,94355,26069,264,76,26175,15013
01107,217040,136014,50488,346,151,46402,30041
01108,125083,85766,25170,304,76,24865,13767
01109,142625,99349,27208,203,69,24278,15796
01110,112355,81427,17444,157,48,17774,13279
01202,251084,179775,53603,568,250,55584,16888
01203,111299,83752,18941,274,97,21377,8235
01204,329306,233373,70471,623,86,72227,24753
01205,82383,59664,19767,212,15,20511,2725
01206,165077,110474,32765,512,44,36499,21282
01207,166536,116896,36558,372,127,37872,12583
01208,115480,76489,21627,210,52,23629,17102
01209,7334,5888,1357,78,1,1814,10
01210,79306,58550,13515,114,13,15176,7114
01211,35759,25430,9311,251,79,9357,688
01212,20114,14399,4249,114,3,5105,1349
01213,170113,115406,35159,362,99,35179,19087
01214,33563,23968,6611,362,4,7967,2618
01215,20413,16638,3079,16,3,3813,677
01216,12555,10218,1969,11,0,2710,357
01217,121056,87996,25741,269,56,21365,6994
01218,9698,7613,1839,65,0,2052,181
01219,21215,14603,3527,410,3,4516,2672
01220,17858,14479,2593,51,9,3380,726
01221,27282,19159,6555,32,10,6941,1526
01222,8040,6245,1647,14,0,1652,134
01223,24636,19185,4358,278,22,5498,793
01224,97950,64658,25478,337,78,22777,7399
01225,39490,27524,8594,56,35,8772,3281
01226,16486,12665,3146,19,5,3474,651
01227,2989,2430,514,7,5,716,33
01228,20039,15580,4079,56,5,4198,319
01229,21131,15607,4210,156,1,4979,1157
01230,46391,34852,8655,91,1,9334,2792
01231,70331,50409,15206,265,16,13258,4435
01233,32826,25358,6740,149,30,6813,549
01234,58171,44971,10054,231,19,8954,2896
01235,56869,41310,8237,258,20,7989,7044
01236,44302,33515,7889,158,7,8468,2733
01303,15916,12708,2582,84,2,2576,540
01304,3044,2389,521,5,0,452,129
01331,6260,5188,1008,32,1,1394,31
01332,3794,3200,507,24,1,761,62
01333,4167,3189,705,55,6,836,212
01334,3832,3187,586,23,1,734,35
01337,27686,21951,5528,100,9,4662,98
01343,3760,3151,525,78,0,653,6
01345,14338,11641,2262,301,0,2870,134
01346,15826,11802,3253,165,9,3873,597
01347,5109,3745,1073,172,0,1141,119
01361,7428,5433,1710,11,4,1903,270
01362,4306,3647,603,34,0,800,22
01363,3592,2932,636,23,0,800,1
01364,3403,2892,490,16,0,666,5
01367,2410,1780,618,5,2,667,5
01370,5072,3993,903,2,0,973,174
01371,7398,6026,1201,27,1,1456,143
01391,1356,1175,180,1,0,213,0
01392,2838,2270,478,52,0,489,38
01393,2791,2028,741,11,3,624,8
01394,4568,3558,824,22,2,824,162
01395,5074,3421,1075,117,2,951,459
01396,2045,1525,479,37,1,413,3
01397,1911,1382,442,85,0,363,2
01398,2156,1565,401,36,1,446,153
01399,2941,2267,421,39,3,484,211
01400,15129,9468,3854,343,2,4081,1462
01401,5772,4524,1199,8,0,1356,41
01402,11648,9171,2281,36,0,2768,160
01403,1569,1242,320,5,0,345,2
01404,870,680,189,1,0,140,0
01405,1831,1553,263,2,0,377,13
01406,2745,2276,323,50,0,546,96
01407,3180,2503,552,65,3,569,57
01408,18000,13627,3430,126,2,3521,815
01409,1165,815,300,44,0,196,6
01423,7319,6027,968,37,1,1087,286
01424,5120,4178,918,20,0,914,4
01425,2841,2415,407,13,0,605,6
01427,4822,4142,610,12,0,771,58
01428,10289,8285,1558,16,3,1794,427
01429,11272,9093,1877,24,11,2041,267
01430,3691,2366,1260,1,4,945,60
01431,1732,1452,270,6,1,371,3
01432,6484,5123,1125,12,31,994,193
01433,2693,2354,292,41,0,481,6
01434,2329,1842,460,4,1,438,22
01436,2389,1928,453,8,0,423,0
01437,1724,1385,331,3,3,354,2
01438,2909,2379,523,6,0,545,1
01452,6567,5534,810,2,2,910,219
01453,10127,7905,1473,19,0,1523,730
01454,6319,5186,1019,4,10,919,100
01455,3520,2886,625,4,4,553,1
01456,2605,2185,378,36,2,506,4
01457,3500,2781,675,39,0,764,5
01458,8314,6199,1844,249,7,1241,15
01459,9668,8075,1461,76,1,1602,55
01460,10348,7827,2272,39,4,2394,206
01461,4733,3789,828,31,0,926,85
01462,2376,1834,504,14,0,526,24
01463,1306,793,351,103,0,295,59
01464,3192,2669,500,21,0,601,2
01465,2926,2425,497,1,1,577,2
01468,3126,2390,636,23,0,632,77
01469,4145,3161,938,31,0,1006,15
01470,706,413,266,1,1,240,25
01471,1528,1147,339,9,3,399,30
01472,1370,1115,246,1,0,274,8
01481,3908,3266,557,77,0,733,8
01482,2994,2421,497,62,2,584,12
01483,2936,2438,454,22,1,581,21
01484,6548,5269,1254,20,0,1478,5
01485,1080,912,161,6,1,220,0
01486,2520,1998,469,52,0,530,1
01487,2950,2340,562,22,0,676,26
01511,2611,2060,419,123,0,475,9
01512,3448,2684,683,62,0,810,19
01513,1637,1263,363,5,1,369,5
01514,7565,6092,1320,123,5,1599,25
01516,3974,2900,899,41,0,832,134
01517,2509,1985,501,21,0,467,2
01518,2004,1561,437,4,0,447,2
01519,2458,1967,465,9,0,516,17
01520,2371,1659,681,21,4,591,6
01543,18697,15060,3466,74,9,3794,88
01544,4373,3579,671,5,2,858,116
01545,11418,8848,2055,136,2,2286,377
01546,3883,3121,621,2,0,764,139
01547,4623,3854,666,18,2,830,83
01549,4677,3913,733,24,0,907,7
01550,2775,2203,565,6,0,554,1
01552,4875,3990,669,210,0,871,6
01555,19241,14480,4136,61,3,4459,561
01559,8270,6893,1225,133,2,1500,17
01560,2421,1913,474,23,0,571,11
01561,3628,2837,713,71,0,788,7
01562,1053,728,291,25,2,233,7
01563,4199,3288,687,212,2,763,10
01564,6775,5491,1046,11,2,1229,225
01571,3821,2837,840,55,0,870,89
01575,2743,1912,534,23,5,499,269
01578,16212,12844,2563,136,5,2745,664
01581,4432,3300,1007,35,0,969,90
01584,8442,6384,1548,71,3,1665,436
01585,7340,5709,1566,57,1,1884,7
01586,7651,6057,1394,111,1,1722,88
01601,11279,8517,2570,179,0,2901,13
01602,4776,3748,921,97,0,1001,10
01604,5309,4135,1041,117,0,1123,16
01607,12074,8877,2973,212,1,3289,11
01608,4043,3382,632,19,1,770,9
01609,4374,3625,697,31,2,943,19
01610,21517,16041,4997,55,2,5509,422
01631,43576,34481,8781,64,11,8159,239
01632,5848,4601,980,63,0,1052,204
