CODE,POPULATION,HOUSE,POP_INCREASE,HOU_INCREASE,AREA,POP_U15,POP_O15,POP_O65
dummy,,,,,,,,
00000,126146099,55830154,-948646,2381469,377976.41,14955692,72922764,35335805
01000,5224614,2476846,-157119,32036,83424.44,555804,2945727,1664023
01100,1973395,969161,21039,47324,1121.26,215366,1185724,541242
01101,248680,141429,11053,9423,46.42,23868,157719,57544
01102,289323,139675,4002,6013,63.57,33524,174146,77275
01103,265379,131188,3467,6763,56.97,29912,160813,68282
01104,211835,108233,2251,3625,34.47,22500,135635,53160
01105,225298,118650,6646,8479,46.23,23432,142582,57056
01106,135777,62134,-5413,843,657.48,13291,72469,47992
01107,217040,103849,3462,6099,75.1,24626,129043,59960
01108,125083,57289,-2684,1704,24.38,12724,71427,40922
01109,142625,61080,1626,3747,56.77,17217,78885,44986
01110,112355,45634,-3371,628,59.87,14272,63005,34065
01202,241024,117466,-13133,-1711,346.9,22887,130462,84365
01339,2291,966,-386,-101,53.04,113,1005,1172
01340,2486,1148,-507,-139,94.27,111,1007,1368
01341,745,350,-165,-46,24.92,47,317,381
01342,4538,1863,-704,-160,158.35,402,2162,1971
01203,111299,52817,-10625,-2649,243.83,9169,55643,45426
01204,329306,156195,-10299,448,747.66,34691,178060,112411
01205,82383,41766,-6181,-1850,81.01,7769,43398,30330
01206,159011,77306,-8914,-1568,221.61,16227,87490,53851
01666,4390,2259,-492,-91,739.37,314,2201,1836
01669,1676,784,-259,-70,401.4,93,904,668
01207,166536,80175,-2791,2468,619.34,19073,96804,49000
01208,102000,49407,-3979,-558,421.08,10894,56826,32892
01548,4384,1737,-502,-55,163.5,405,2178,1801
01551,5570,2568,-811,-267,564.69,363,2330,2858
01553,3526,1476,-454,-134,278.29,352,1883,1290
01209,7334,3807,-1509,-732,763.07,411,3093,3828
01210,72184,32799,-4164,-306,204.74,7317,39077,25615
01421,2320,845,-387,-82,96.49,195,1117,1008
01422,4802,1940,-642,-183,179.87,347,2197,2257
01211,35759,17253,-3318,-782,471,3731,20405,11259
01212,20114,9816,-2107,-586,297.84,1711,9981,7425
01213,170113,80130,-2624,1832,561.57,20426,96847,50022
01214,33563,16060,-2817,-426,761.47,3484,18920,11025
01215,20413,9434,-2622,-739,277.69,1539,10169,8642
01216,12555,6055,-2121,-807,865.04,845,5705,5995
01217,121056,53977,420,1994,187.38,13400,69555,36783
01218,9698,4494,-1407,-486,129.88,603,4280,4669
01219,21215,11214,-1894,87,830.67,1971,11515,7697
01220,16734,7612,-1848,-371,597.28,1586,8395,6700
01466,1124,572,-208,-95,522.01,66,408,650
01221,23788,11324,-1258,-146,314.62,2715,13635,7156
01467,3494,1486,-508,-130,220.61,303,1597,1591
01222,8040,3816,-1036,-438,302.52,655,3566,3819
01223,24636,11153,-2281,-230,411.41,2396,13370,8648
01223X,0,0,0,0,94.84,0,0,0
01224,97950,43809,2302,3171,594.5,13012,62066,22690
01225,39490,18688,-1702,37,115.9,3995,21161,13821
01226,16486,7599,-1208,-259,78.68,1388,8138,6404
01227,2989,1424,-596,-241,55.95,142,1252,1592
01228,20039,9198,-1870,-471,529.42,1634,9802,8544
01229,21131,9538,-1805,-391,600.71,2211,11512,7255
01230,46391,20928,-3234,-753,212.21,4775,24170,17287
01231,70331,30276,629,1430,294.65,8701,41413,19673
01233,31748,14395,-1877,-148,170.25,3310,16383,12023
01574,1078,449,-292,-62,274.03,45,449,578
01234,58171,24640,-893,1089,119.05,6395,32140,19380
01235,54147,21759,-34,663,117.85,6659,29473,18014
01305,1638,744,-289,-95,292.84,97,761,780
01306,1084,599,-244,-98,311.15,65,411,608
01335,34276,14441,-1923,-288,262.41,4251,19825,10108
01336,10026,3896,-165,117,134.88,1193,5609,3224
01303,15916,7281,-1362,-46,422.86,1178,8983,5553
01304,3044,1051,-285,-19,78.04,300,1591,1142
01331,6260,3196,-1077,-375,293.25,377,2611,3266
01332,3794,1861,-628,-178,187.25,228,1711,1851
01333,4167,1868,-486,-135,196.75,357,2160,1649
01334,3832,1871,-715,-269,221.87,232,1678,1908
01337,27686,11568,-434,427,216.75,3215,14743,9719
01343,3760,1619,-466,-41,110.63,342,1901,1517
01344,3404,1415,-439,-57,56.85,306,1816,1280
01345,10934,4915,-1169,-241,311.42,1058,5587,4252
01346,13833,6536,-997,159,735.6,1493,7752,4391
01365,1993,983,-429,-163,220.31,98,752,1143
01347,5109,2717,-817,32,310.76,415,2507,2088
01361,7428,3542,-820,-210,109.48,589,3950,2846
01362,4306,2053,-570,-120,547.71,388,2047,1868
01363,3592,1654,-457,-111,460.58,339,1713,1540
01364,3403,1597,-503,-132,162.59,284,1567,1552
01367,2410,1215,-280,-55,142.99,163,1250,997
01370,5072,2192,-556,-88,568.25,468,2515,2089
01366,1280,672,-300,-131,133.9,60,458,762
01368,1615,792,-317,-109,125.62,104,720,790
01369,4503,2070,-458,-88,379.03,423,2145,1930
01391,1356,617,-143,-44,437.18,112,680,564
01392,2838,1340,-299,-80,95.25,258,1411,1167
01393,2791,1298,-291,-38,345.65,304,1385,1102
01394,4568,2081,-275,-5,449.78,453,2285,1828
01395,5074,2515,116,241,197.13,619,2797,1307
01396,2045,903,-58,48,114.25,242,1098,705
01397,1911,959,4,44,119.84,234,1184,493
01398,2156,1130,-138,7,189.41,177,1044,805
01399,2941,1269,-246,-12,231.49,297,1446,1114
01400,15129,7631,111,657,261.34,1941,9096,3731
01401,5772,2728,-452,-126,304.92,650,3273,1826
01402,11648,5750,-1394,-478,70.6,1106,6157,4364
01403,1569,813,-202,-73,82.27,147,797,625
01404,870,401,-134,-33,147.79,65,357,448
01405,1831,883,-284,-111,238.13,148,823,859
01406,2745,1282,-443,-164,188.36,207,1297,1154
01407,3180,1332,-318,-148,167.96,344,1554,1282
01408,18000,8283,-1607,-486,140.59,1667,9020,7260
01409,1165,621,44,87,280.09,131,673,361
01423,7319,2980,-608,7,81.36,693,4057,2555
01424,5120,2312,-554,-154,88.19,439,2490,2189
01425,2841,1479,-638,-265,39.98,182,1201,1458
01427,4822,2063,-492,-86,133.74,401,2324,2044
01428,10289,4091,-787,-166,168.52,1010,5280,3969
01429,11272,4964,-1072,-222,203.93,1083,5528,4636
01430,3691,1320,-886,-146,150.4,214,2064,1376
01431,1732,777,-253,-73,101.83,173,781,777
01432,6484,2543,-347,-27,495.47,719,3099,2666
01433,2693,1201,-398,-68,48.64,217,1207,1269
01434,2329,982,-184,-35,47.18,229,1093,985
01436,2389,926,-360,-79,191.15,194,1186,1009
01437,1724,737,-257,-45,158.7,162,787,775
01438,2909,1244,-272,-89,283.35,257,1412,1240
01452,6567,2658,-451,-59,139.42,804,3491,2272
01453,10127,3840,-106,183,68.5,1545,5638,2929
01454,6319,2773,-370,75,204.9,649,3011,2659
01455,3520,1570,-257,-16,86.9,353,1706,1461
01456,2605,1189,-371,-116,250.13,221,1178,1206
01457,3500,1913,-544,-189,1049.47,263,1687,1550
01458,8314,3405,203,257,247.3,1085,4469,2759
01459,9668,4213,-624,-75,676.78,927,4992,3749
01460,10348,4287,-478,-76,237.1,1195,5741,3314
01461,4733,1977,-336,-48,108.65,594,2406,1731
01462,2376,1075,-179,-57,665.54,250,1355,766
01463,1306,849,95,145,571.41,100,847,305
01464,3192,1429,-404,-104,225.11,308,1470,1414
01465,2926,1227,-302,-103,130.99,279,1451,1196
01468,3126,1473,-421,-201,644.2,316,1514,1257
01469,4145,1912,-514,-129,672.09,369,2075,1699
01470,706,347,-126,-58,275.63,44,432,208
01471,1528,822,-239,-75,594.74,140,770,593
01472,1370,667,-155,-23,767.04,120,691,559
01481,3908,1878,-589,-173,369.71,323,1857,1728
01482,2994,1366,-342,-40,627.22,265,1527,1201
01483,2936,1347,-329,-73,454.6,285,1463,1186
01484,6548,3143,-779,-224,472.65,619,3096,2832
01485,1080,498,-137,-39,279.52,90,569,421
01486,2520,1200,-286,-25,590.8,248,1238,1034
01487,2950,1425,-293,-77,353.56,300,1545,1097
01511,2611,1238,-73,64,589.99,366,1622,615
01512,3448,1716,-433,-129,401.64,312,1831,1293
01513,1637,756,-120,-19,398.51,160,822,655
01514,6067,2797,-645,-164,509.13,657,3381,2028
01515,1498,718,-227,-93,606.51,133,697,668
01516,3974,1951,-80,169,520.69,388,2114,1357
01517,2509,1246,-264,-107,81.64,259,1340,910
01518,2004,1037,-299,-117,76.5,185,1010,809
01519,2458,1199,-329,-65,105.62,252,1265,941
01520,2371,1225,-76,87,574.1,274,1416,681
01543,18697,8309,-1599,-317,438.41,1928,10043,6713
01544,4373,2043,-635,-188,716.8,365,1940,1978
01545,11418,5349,-813,-198,737.13,1337,6221,3839
01546,3883,1591,-338,-80,402.76,453,1868,1484
01547,4623,1966,-462,-67,286.89,533,2312,1772
01549,4677,1873,-423,-37,190.95,531,2314,1828
01550,2775,1202,-317,-102,527.27,270,1261,1244
01552,4875,2266,-487,-45,404.94,492,2458,1924
01554,1582,701,-314,-104,269.36,131,677,741
01555,15859,7221,-957,-213,209.87,1728,8160,5525
01556,1214,589,-257,-96,510.13,66,447,664
01557,586,302,-104,-52,342.96,36,237,300
01558,4467,2057,-564,-115,161.39,381,2224,1862
01559,3803,1635,-397,-54,344.34,400,2019,1384
