CODE,POPULATION,NOCOMMUTE,COMMUTE_JP,COMMUTE_UNK,POP_DAY,WORKER,UNKNOWN
dummy,,,,,,,
01101,248680,71371,120864,399,396646,268830,56046
01102,289323,88872,149553,1001,275317,135547,49897
01103,265379,82151,132787,825,251666,119074,49616
01104,211835,63598,106072,799,205691,99928,41366
01105,225298,68695,115285,772,194625,84612,40546
01106,135777,49904,65139,552,121482,50844,20182
01107,217040,70104,110366,785,192358,85684,35785
01108,125083,45303,62459,378,115443,52819,16943
01109,142625,51100,71621,496,123558,52554,19408
01110,112355,37945,57701,495,97378,42724,16214
01202,251084,92562,126028,512,257568,132512,31982
01203,111299,48382,52616,199,114479,55796,10102
01204,329306,127911,174014,246,331123,175831,27135
01205,82383,34138,42110,89,90235,49962,6046
01206,165077,60152,82264,108,166088,83275,22553
01207,166536,50083,83820,281,173640,90924,32352
01208,115480,37875,57745,94,115363,57628,19766
01209,7334,3712,3446,2,7684,3796,174
01210,79306,31226,40514,147,77508,38716,7419
01211,35759,12572,20108,29,36370,20719,3050
01212,20114,7800,10850,21,20502,11238,1443
01213,170113,55598,88739,314,170056,88682,25462
01214,33563,11938,19035,5,33638,19110,2585
01215,20413,8723,10820,43,20168,10575,827
01216,12555,6002,6070,15,12296,5811,468
01217,121056,43127,66155,352,109357,54456,11422
01218,9698,4898,4608,13,10132,5042,179
01219,21215,7630,11067,15,21344,11196,2503
01220,17858,6493,9930,43,17838,9910,1392
01221,27282,9467,16058,17,27317,16093,1740
01222,8040,4113,3757,11,8173,3890,159
01223,24636,8549,14485,15,24759,14608,1587
01224,97950,30050,57203,257,101842,61095,10440
01225,39490,13912,20890,111,38626,20026,4577
01226,16486,6973,8870,16,17083,9467,627
01227,2989,1677,1305,2,2666,982,5
01228,20039,8226,10923,31,20252,11136,859
01229,21131,7343,12630,23,21813,13312,1135
01230,46391,19408,24230,64,39948,17787,2689
01231,70331,25088,40338,110,65391,35398,4795
01233,32826,13027,17451,93,31165,15790,2255
01234,58171,21543,30800,184,59352,31981,5644
01235,56869,19832,27628,238,61820,32579,9171
01236,44302,16221,25576,52,39973,21247,2453
01303,15916,5483,9244,55,16052,9380,1134
01304,3044,984,1793,7,3385,2134,260
01331,6260,3234,2947,7,6089,2776,72
01332,3794,1879,1801,13,3643,1650,101
01333,4167,1495,2458,5,4190,2481,209
01334,3832,1802,1822,14,3777,1767,194
01337,27686,12373,14494,79,24489,11297,740
01343,3760,1599,2136,6,3713,2089,19
01345,14338,5796,8381,23,14351,8394,138
01346,15826,5633,9218,22,16060,9452,953
01347,5109,1988,2973,6,5260,3124,142
01361,7428,2985,4052,19,7955,4579,372
01362,4306,1937,2320,13,3954,1968,36
01363,3592,1384,2198,3,3709,2315,7
01364,3403,1528,1859,1,3018,1474,15
01367,2410,960,1448,0,2430,1468,2
01370,5072,1937,2965,3,5092,2985,167
01371,7398,3166,4194,3,7362,4158,35
01391,1356,617,727,2,1288,659,10
01392,2838,1194,1601,5,2930,1693,38
01393,2791,1205,1545,8,2842,1596,33
01394,4568,1582,2664,16,4372,2468,306
01395,5074,1569,3018,9,5198,3142,478
01396,2045,667,1360,1,2098,1413,17
01397,1911,461,1440,2,2262,1791,8
01398,2156,786,1217,2,2120,1181,151
01399,2941,986,1706,9,2960,1725,240
01400,15129,4503,9175,16,16164,10210,1435
01401,5772,1889,3676,3,5401,3305,204
01402,11648,4710,6524,20,10870,5746,394
01403,1569,649,910,4,2507,1848,6
01404,870,419,450,1,839,419,0
01405,1831,750,1033,6,1745,947,42
01406,2745,1146,1481,4,2731,1467,114
01407,3180,1140,1970,3,3444,2234,67
01408,18000,7422,9756,18,17256,9012,804
01409,1165,341,818,1,1336,989,5
01423,7319,2645,4265,33,6658,3604,376
01424,5120,2218,2852,5,5406,3138,45
01425,2841,1609,1215,4,2615,989,13
01427,4822,1748,2998,3,4897,3073,73
01428,10289,3347,6244,35,10492,6447,663
01429,11272,4374,6506,17,11125,6359,375
01430,3691,1920,1699,4,4053,2061,68
01431,1732,654,1059,8,1784,1111,11
01432,6484,2479,3557,19,6050,3123,429
01433,2693,1124,1560,5,2750,1617,4
01434,2329,963,1322,6,2251,1244,38
01436,2389,919,1466,0,2488,1565,4
01437,1724,694,1027,1,1782,1085,2
01438,2909,1100,1776,4,2907,1774,29
01452,6567,2371,3950,19,5799,3182,227
01453,10127,3498,6038,35,8483,4394,556
01454,6319,2420,3767,14,5800,3248,118
01455,3520,1377,2129,8,3088,1697,6
01456,2605,1103,1455,11,2653,1503,36
01457,3500,1466,2033,1,3717,2250,0
01458,8314,3002,5252,22,8277,5215,38
01459,9668,3752,5784,23,9779,5895,109
01460,10348,3394,6535,22,10106,6293,397
01461,4733,1632,2977,6,4499,2743,118
01462,2376,868,1463,4,2459,1546,41
01463,1306,309,938,1,1501,1133,58
01464,3192,1235,1944,4,3130,1882,9
01465,2926,1017,1901,3,2846,1821,5
01468,3126,1244,1799,6,3231,1904,77
01469,4145,1600,2512,4,4248,2615,29
01470,706,203,478,1,756,528,24
01471,1528,553,934,0,1583,989,41
01472,1370,474,889,1,1452,971,6
01481,3908,1628,2229,11,3653,1974,40
01482,2994,1125,1852,0,2912,1770,17
01483,2936,1107,1788,6,2965,1817,35
01484,6548,2622,3909,6,6510,3871,11
01485,1080,408,672,0,1070,662,0
01486,2520,892,1606,3,2509,1595,19
01487,2950,993,1922,2,3052,2024,33
01511,2611,748,1834,1,2663,1886,28
01512,3448,1277,2099,3,3557,2208,69
01513,1637,635,989,4,1590,942,9
01514,7565,2634,4900,5,7516,4851,26
01516,3974,1284,2553,3,3994,2573,134
01517,2509,653,1848,0,2564,1903,8
01518,2004,645,1356,0,2050,1402,3
01519,2458,797,1635,2,2438,1615,24
01520,2371,729,1633,4,2492,1754,5
01543,18697,7233,11298,23,17725,10326,143
01544,4373,1854,2325,7,4765,2717,187
01545,11418,4113,6689,14,11645,6916,602
01546,3883,1512,2277,3,3771,2165,91
01547,4623,1634,2880,6,4572,2829,103
01549,4677,1643,3017,9,4510,2850,8
01550,2775,1220,1552,1,2829,1606,2
01552,4875,1839,3013,4,4984,3122,19
01555,19241,7933,10677,15,19024,10460,616
01559,8270,3125,5085,7,8412,5227,53
01560,2421,1048,1347,1,2397,1323,25
01561,3628,1228,2226,6,3801,2399,168
01562,1053,427,621,1,1039,607,4
01563,4199,1359,2772,7,4157,2730,61
01564,6775,2164,4170,17,6957,4352,424
01571,3821,1592,2145,3,3697,2021,81
01575,2743,1159,1510,4,3105,1872,70
01578,16212,7460,7666,20,16914,8368,1066
01581,4432,1511,2821,4,5176,3565,96
01584,8442,3443,4329,40,8755,4642,630
01585,7340,2876,4437,6,8073,5170,21
01586,7651,2754,4712,21,7868,4929,164
01601,11279,4034,7227,3,11206,7154,15
01602,4776,1489,3245,7,4909,3378,35
01604,5309,1795,3481,3,5120,3292,30
01607,12074,4453,7541,41,12416,7883,39
01608,4043,1577,2450,4,3792,2199,12
01609,4374,1308,3001,6,4364,2991,59
01610,21517,8288,12398,20,21656,12537,811
01631,43576,14804,25622,91,37310,19356,3059
01632,5848,1820,3825,11,6509,4486,192
01633,4778,1570,2862,12,5047,3131,334
01634,5266,1624,3426,9,5316,3476,207
01635,5817,2120,3483,12,5922,3588,202
01636,9094,3249,5403,16,9416,5725,426
01637,18048,5408,11304,74,18402,11658,1262
01638,3884,1180,2564,13,4207,2887,127
01639,3080,867,2123,4,3135,2178,86
01641,5420,1880,3521,2,5683,3784,17
01642,6387,2256,3759,7,6309,3681,365
01643,25766,9014,15291,95,22033,11558,1366
01644,6294,2594,3606,6,6137,3449,88
01645,3022,1136,1850,14,3116,1944,22
01646,6618,2542,3957,12,6771,4110,107
01647,6563,2446,3966,3,6682,4085,148
01648,2264,884,1366,4,2314,1416,10
01649,4387,1638,2705,1,4482,2800,43
01661,19105,6748,10574,42,17772,9241,1741
01662,8892,2876,5942,5,8788,5838,69
01663,5507,1353,4059,10,5596,4148,85
01664,7230,2452,4455,11,7299,4524,312
01665,6955,2572,3873,10,7007,3925,500
01667,2558,966,1521,1,2577,1540,70
01668,7289,3096,4171,5,7482,4364,17
01691,14380,4056,9666,10,15091,10377,648
01692,23010,7214,15117,26,22256,14363,653
01693,5023,1613,3282,13,5169,3428,115
01694,4722,1337,3185,11,4750,3213,189
02201,275192,102192,152604,262,278910,156322,20134
02202,168466,54121,96854,354,179790,108178,17137
02203,223415,82987,127438,247,233149,137172,12743
02204,31946,11639,19659,64,29842,17555,584
02205,51415,20057,28775,86,52374,29734,2497
02206,60378,20468,35132,110,60654,35408,4668
02207,39152,12697,22940,59,40284,24072,3456
02208,54103,21128,29431,68,52910,28238,3476
02209,30934,11382,17985,80,29188,16239,1487
02210,30567,11061,19059,21,27224,15716,426
02301,10126,3900,5959,12,9147,4980,255
02303,2334,1270,1033,4,2311,1010,27
02304,2540,1042,1493,1,2278,1231,4
02307,5401,2686,2634,6,5322,2555,75
02321,9044,4126,4861,12,8602,4419,45
02323,7346,3582,3684,5,7094,3432,75
02343,1265,442,774,8,1076,585,41
02361,14573,5131,9384,13,11922,6733,45
02362,8665,3387,4847,37,7199,3381,394
02367,7326,2595,4597,7,6257,3528,127
02381,12700,3935,8310,26,11180,6790,429
02384,12074,4579,7408,27,10785,6119,60
02387,9657,4519,5077,11,9029,4449,50
02401,12374,4849,6925,30,11474,6025,570
02402,14556,5476,8855,18,13991,8290,207
02405,10447,3599,6540,35,8929,5022,273
02406,4229,1622,2596,2,4172,2539,9
02408,16428,5888,10192,32,14699,8463,316
02411,10367,2807,7227,19,17715,14575,314
02412,24273,8034,14950,47,20373,11050,1242
02423,4718,1852,2802,7,5027,3111,57
02424,5955,2200,3722,8,5809,3576,25
02425,1636,687,928,5,1432,724,16
02426,1788,813,901,5,1675,788,69
02441,9082,3530,5311,15,8957,5186,226
02442,16042,6068,9934,13,14262,8154,27
02443,4968,1831,3118,9,4816,2966,10
02445,16809,6304,10348,30,14329,7868,127
02446,13496,4609,7761,118,10500,4765,1008
02450,2197,766,1402,8,2066,1271,21
03201,289731,94896,171872,548,302356,184497,22415
03202,50369,20695,27666,54,51241,28538,1954
03203,34728,13032,19920,71,35699,20891,1705
03205,93193,32107,56419,293,89651,52877,4374
03206,93045,28322,54145,198,98358,59458,10380
03207,33043,12477,19169,88,33951,20077,1309
03208,25366,9470,15338,35,24672,14644,523
03209,111932,40881,67181,200,111866,67115,3670
03210,18262,7468,10481,42,17023,9242,271
03211,32078,13645,17209,27,34529,19660,1197
03213,25513,9083,15839,48,25986,16312,543
03214,24023,9077,14581,38,23614,14172,327
03215,112937,38886,69250,185,109296,65609,4616
03216,55579,17344,35598,162,47016,27035,2475
03301,15731,5646,9705,73,14827,8801,307
03302,5634,2499,3084,7,5462,2912,44
03303,12285,4696,7521,23,11278,6514,45
03321,32147,10180,20240,139,26191,14284,1588
03322,28056,8580,18293,37,31885,22122,1146
03366,5134,2133,2983,7,5070,2919,11
03381,15535,4619,10101,46,17981,12547,769
03402,7252,2668,4508,20,6534,3790,56
03441,5045,2198,2835,10,4773,2563,2
03461,11004,4735,5932,26,9780,4708,311
03482,14320,6172,7988,21,12994,6662,139
03483,8726,3828,4838,12,9009,5121,48
03484,3059,1242,1784,2,3065,1790,31
03485,2487,998,1379,20,2385,1277,90
03501,8421,3201,5147,13,7942,4668,60
03503,3936,1623,2243,11,3536,1843,59
03506,5378,2063,3287,11,5330,3239,17
03507,15091,6431,8639,8,13131,6679,13
03524,11494,4665,6742,12,11476,6724,75
04101,311590,89786,171921,540,407568,267899,49343
04102,196732,54643,110167,477,215970,129405,31445
04103,141475,39802,78747,571,140555,77827,22355
04104,234758,76800,129082,708,195382,89706,28168
04105,212149,71874,119421,522,192717,99989,20332
04202,140151,51448,76676,329,143201,79726,11698
04203,52203,19810,27315,213,47588,22700,4865
04205,61147,23370,32995,126,61887,33735,4656
04206,32758,11814,18536,121,32783,18561,2287
04207,78718,24922,45317,261,75136,41735,8218
04208,27976,10598,15865,131,29154,17043,1382
04209,62827,19027,33582,298,57382,28137,9920
04211,44068,13816,24093,343,44643,24668,5816
04212,76037,26444,45157,366,72356,41476,4070
04213,64637,24266,37249,240,63422,36034,2882
04214,39098,14235,22122,43,33158,16182,2698
04215,127330,43875,76375,318,123969,73014,6762
04216,51651,15159,33015,187,40880,22244,3290
04301,11418,4023,6716,35,11123,6421,644
04302,1262,532,727,0,1366,831,3
04321,23571,8169,13599,45,22098,12126,1758
04322,10666,4038,6251,18,10275,5860,359
04323,38271,14089,23063,73,34072,18864,1046
04324,8345,2981,5075,35,7649,4379,254
04341,12262,4850,6329,123,11441,5508,960
04361,33087,11796,19213,93,27194,13320,1985
04362,12046,5123,6381,76,11410,5745,466
04401,13323,5647,7322,33,11900,5899,321
04404,18132,6816,10501,41,12168,4537,774
04406,35182,11252,21299,120,30589,16706,2511
04421,28786,8798,17468,70,33858,22540,2450
04422,7813,3050,4426,44,7996,4609,293
04424,5849,1815,3386,68,10700,8237,580
04444,6698,2189,4221,25,6210,3733,263
04445,21943,7652,14203,13,20516,12776,75
04501,15388,5901,9157,20,14125,7894,310
04505,23994,8814,13859,128,20756,10621,1193
04581,6430,2475,3812,8,8132,5514,135
04606,12225,4749,7104,48,12150,7029,324
05201,307672,108407,169121,340,319150,180599,29804
05202,49968,21274,27006,55,52303,29341,1633
05203,85555,32325,51851,88,87510,53806,1291
05204,69237,27562,38528,58,70324,39615,3089
05206,25154,11249,12525,58,23843,11214,1322
05207,42091,16429,24428,94,42272,24609,1140
05209,29088,11304,16980,45,28176,16068,759
05210,74707,27601,44388,64,74024,43705,2654
05211,31720,12221,17419,57,26425,12124,2023
05212,77657,28942,45826,122,76761,44930,2767
05213,30198,13277,16362,46,29890,16054,513
05214,23435,9204,13521,57,22807,12893,653
05215,24610,9695,14445,47,24294,14129,423
05303,4780,2183,2572,1,5305,3097,24
05327,2063,1056,975,2,1915,827,30
05346,2896,1317,1565,8,2479,1148,6
05348,15254,6235,8631,34,13417,6794,354
05349,6577,2754,3693,14,5725,2841,116
05361,8538,3806,4577,10,7983,4022,145
05363,5583,2408,3093,8,4782,2292,74
05366,4566,1922,2584,3,4160,2178,57
05368,3011,524,2449,2,3582,3020,36
05434,18613,6776,11281,76,16014,8682,480
05463,13825,5080,8457,41,12217,6849,247
05464,2704,878,1779,1,2473,1548,46
06201,247590,80046,141935,370,263518,157863,25239
06202,81252,25935,49371,108,86575,54694,5838
06203,122347,42311,73861,116,123233,74747,6059
06204,100273,36840,59130,135,103651,62508,4168
06205,34432,11759,20479,93,38084,24131,2101
06206,40189,13549,25491,70,39335,24637,1079
06207,29110,11028,16762,100,27658,15310,1220
06208,22516,8338,13739,53,20992,12215,386
06209,26543,9399,15816,172,27104,16377,1156
06210,62140,21154,39617,194,60031,37508,1175
06211,47682,14716,29914,154,49103,31335,2898
06212,14971,5305,9147,56,14709,8885,463
06213,30420,10705,18978,54,28263,16821,683
06301,13725,4871,8353,85,10180,4808,416
06302,10746,3920,6561,33,7884,3699,232
06321,17641,6188,10915,64,16088,9362,474
06322,4956,1971,2908,14,4233,2185,63
06323,6366,2330,3981,12,5619,3234,43
06324,7646,2775,4778,16,7004,4136,77
06341,6577,2404,4135,7,5503,3061,31
06361,5071,1787,3218,18,4226,2373,48
06362,8080,2952,5010,34,7245,4175,84
06363,5007,2055,2918,3,4367,2278,31
06364,7203,2852,4330,6,6259,3386,15
06365,3028,1043,1956,14,2512,1440,15
06366,3902,1349,2525,5,3458,2081,23
06367,4199,1652,2407,36,3497,1705,104
06381,22463,7373,14633,36,19639,11809,421
06382,14558,5354,8909,37,14003,8354,258
06401,7107,2788,4193,11,7188,4274,115
06402,12890,4737,7961,24,11453,6524,168
06403,6613,2322,4225,14,6265,3877,52
06426,7601,2769,4684,9,8553,5636,139
06428,20151,7259,12622,49,16861,9332,221
06461,13032,5106,7841,9,10921,5730,76
07201,282693,94160,154597,489,290714,162618,33447
07202,117376,37272,65374,263,123606,71604,14467
07203,327692,101160,181108,626,339929,193345,44798
07204,332931,119777,177363,429,327435,171867,35362
07205,59491,19730,34465,174,60182,35156,5122
07207,74992,23246,42902,390,70923,38833,8454
07208,44760,15950,25615,162,42360,23215,3033
07209,34865,11327,20072,168,34385,19592,3298
