ESTIMATE,CODE,CODE4,ELECTOR,S_VOTE,S_VALID_VOTE,H_VOTE,H_VALID_VOTE,H_JIMIN,H_KOMEI,H_RIKKEN,H_ISHIN,H_KYOSAN,H_KOKUMIN,H_REIWA,H_SHAMIN,H_NHK,H_OTHER
dummy,dummy,dummy,,,,,,,,,,,,,,,
,01000,,4484168 ,2636308 ,2583135 ,2635835 ,2569130 ,863300 ,294371 ,682912.582 ,215344 ,207189 ,73621.234 ,102086 ,41248 ,42916 ,46142 
,,0101,450946 ,266624 ,260923 ,266543 ,262290 ,83572 ,22288 ,69398.656 ,30507 ,21045 ,9613.340 ,11876 ,4168 ,4757 ,5065 
,,0102,460828 ,242400 ,236628 ,242357 ,238180 ,67399 ,27109 ,57839.810 ,29302 ,24207 ,8642.188 ,10322 ,3940 ,4757 ,4662 
,,0103,474944 ,267087 ,261792 ,267005 ,262494 ,79838 ,30181 ,66715.967 ,29220 ,21069 ,9962.030 ,11627 ,3960 ,4838 ,5083 
,,0104,363778 ,222399 ,217956 ,222341 ,217183 ,69198 ,26603 ,59856.963 ,16541 ,19594 ,6099.017 ,8719 ,3330 ,3087 ,4155 
,,0105,467864 ,281726 ,276594 ,281701 ,275636 ,94328 ,31772 ,74030.849 ,21788 ,21135 ,8141.143 ,10514 ,4023 ,4658 ,5246 
,,0106,415008 ,235959 ,231849 ,235906 ,228928 ,84613 ,24415 ,62209.245 ,14956 ,15898 ,5285.733 ,8658 ,4054 ,4864 ,3975 
,,0107,253134 ,142241 ,139273 ,142236 ,137888 ,50944 ,18385 ,31984.640 ,10917 ,11394 ,2913.348 ,5497 ,1983 ,1817 ,2053 
,,0108,361180 ,217001 ,214236 ,216967 ,210319 ,77234 ,23497 ,61506.791 ,11313 ,15633 ,4720.191 ,7138 ,3183 ,2841 ,3253 
,,0109,381777 ,224937 ,220354 ,224915 ,218445 ,66667 ,29869 ,61385.379 ,15249 ,19374 ,6540.603 ,8193 ,3828 ,3359 ,3980 
,,0110,284648 ,184447 ,179561 ,184440 ,178006 ,59696 ,25524 ,51125.708 ,10415 ,12177 ,3990.260 ,6461 ,3117 ,2584 ,2916 
,,0111,283875 ,180297 ,176874 ,180267 ,173822 ,65535 ,16405 ,46205.200 ,12820 ,13696 ,4011.781 ,6639 ,2821 ,2596 ,3093 
,,0112,286186 ,171190 ,167095 ,171157 ,165939 ,64276 ,18323 ,40653.374 ,12316 ,11967 ,3701.600 ,6442 ,2841 ,2758 ,2661 
