CODE,POPULATION,HOUSE,MOVEIN1,BIRTH1,ADD1,MOVEOUT1,DEATH1,DELETE1,INCR1,SOC_INCR1,NAT_INCR1,INCR5,SOC_INCR5,NAT_INCR5,BIRTH5,DEATH5,INCR10,SOC_INCR10,NAT_INCR10,BIRTH10,DEATH10,FOREIGNER,POP_U15,POP_O15,POP_O65,AREA
dummy,,,,,,,,,,,,,,,,,,,,,,,,,,
01101,239944,146024,21613,1557,23277,19030,2264,21531,1746,2583,-707,9562,12249,-2179,8454,10633,27102,28204,-2412,17541,19953,2716,24110,158721,57113,46.42
01102,286054,153908,16046,1729,17917,14918,2873,18049,-132,1128,-1144,2662,7648,-4446,9244,13690,9590,14552,-6781,19162,25943,3035,33874,174315,77865,63.57
01103,262298,144421,15414,1872,17464,14334,2546,17088,376,1080,-674,2472,4938,-2345,10155,12500,9304,10728,-2644,20853,23497,1858,30384,162930,68984,56.97
01104,214050,124710,14530,1557,16159,13075,2148,15320,839,1455,-591,3571,5469,-1814,8595,10409,9252,10014,-1386,18136,19522,1251,22669,137958,53423,34.47
01105,224435,129875,16737,1585,18409,15266,2167,17536,873,1471,-582,5364,7567,-1985,8548,10533,13173,14018,-1990,17767,19757,1512,23622,143753,57060,46.23
01106,135748,72911,7842,653,8532,7473,1818,9342,-810,369,-1165,-5061,312,-5298,3375,8673,-9968,-1310,-8924,7341,16265,699,13511,74194,48043,657.48
01107,218128,117533,13064,1471,14594,11166,2206,13459,1135,1898,-735,5602,8313,-2674,7871,10545,7296,10380,-3660,16214,19874,1050,24927,132320,60881,75.1
01108,126274,65879,6095,617,6762,6286,1362,7730,-968,-191,-745,-2857,338,-3145,3343,6488,-3383,1087,-4908,7184,12092,735,12719,72886,40669,24.38
01109,141974,70272,6397,767,7194,5567,1600,7186,8,830,-833,776,4161,-3435,4122,7557,1790,7076,-5325,8810,14135,521,17347,80324,44303,56.77
01110,112670,53399,4315,525,4870,4455,1194,5675,-805,-140,-669,-2348,304,-2664,2999,5663,-2984,388,-3842,6515,10357,599,14208,64737,33725,59.87
01202,251891,141415,8152,1230,9694,9130,3814,13111,-3417,-978,-2584,-16726,-5297,-12032,6926,18958,-30332,-10552,-21659,15387,37046,1098,23880,137889,90122,677.87
01203,112450,62578,3151,432,3626,3595,1946,5601,-1975,-444,-1514,-10477,-3368,-7010,2423,9433,-20323,-7262,-13300,5637,18937,682,9364,57031,46055,243.83
