CODE,ELECTOR,S_VOTE,S_VALID_VOTE,H_VOTE,H_VALID_VOTE,H_JIMIN,H_KOMEI,H_RIKKEN,H_ISHIN,H_KOKUMIN,H_KYOSAN,H_REIWA,H_SHAMIN,H_NHK,H_SANSEI,H_OTHER
dummy,,,,,,,,,,,,,,,,
01000,4465577,2410392,2337653,2410133,2324349 ,809608.315 ,273557.726 ,500331.595 ,172373.071 ,90460.200 ,189624.992 ,97375.982 ,36305.163 ,58707.218 ,68632.363 ,27315.689 
01101,211267,115970,113115,115948,113021 ,37223.677 ,8436.000 ,22046.289 ,12018.100 ,6328.660 ,8852.257 ,5908.094 ,2366.000 ,3392.791 ,4883.126 ,1566.000 
01102,242202,125971,122413,125943,122565 ,37577.628 ,13994.019 ,25001.093 ,11415.824 ,6247.727 ,11252.657 ,5569.136 ,2164.437 ,3519.719 ,4205.956 ,1616.791 
01103,223943,111970,108861,111951,108857 ,33588.888 ,12788.008 ,20423.180 ,9864.842 ,5526.704 ,11589.455 ,5064.351 ,1670.368 ,3140.000 ,3772.380 ,1428.812 
01104,185171,92181,89675,92160,89647 ,27229.290 ,11729.386 ,17000.194 ,8090.382 ,4520.716 ,8200.835 ,4505.392 ,1356.636 ,2700.946 ,3113.711 ,1199.500 
01105,195780,105320,102476,105304,102422 ,33943.754 ,10706.246 ,20025.684 ,9624.105 ,5648.199 ,7849.178 ,5066.068 ,1729.000 ,2768.753 ,3677.000 ,1384.004 
01106,117614,68843,67085,68829,66746 ,23473.607 ,6878.000 ,13897.415 ,5717.192 ,2435.473 ,5525.586 ,2919.259 ,1121.000 ,1645.600 ,2284.932 ,847.928 
01107,187511,106227,103547,106180,103087 ,33573.849 ,9847.340 ,22105.266 ,9517.911 ,5300.667 ,8516.261 ,4792.959 ,1760.454 ,2755.659 ,3534.852 ,1381.772 
01108,109227,65413,63841,65423,63629 ,19525.168 ,6952.398 ,14778.506 ,5690.914 ,2967.343 ,5858.233 ,2642.418 ,1085.166 ,1585.536 ,1815.552 ,727.752 
01109,120307,68853,67037,68838,66727 ,20177.620 ,8318.963 ,15755.312 ,5896.078 ,2703.720 ,5442.356 ,2884.663 ,1145.000 ,1638.780 ,2012.497 ,752.000 
01110,94065,54163,52771,54159,52701 ,16719.581 ,6731.010 ,11300.955 ,4862.452 ,2389.933 ,4066.190 ,2065.385 ,786.000 ,1339.000 ,1731.930 ,708.555 
