pref,gun,code
北海道,石狩支庁,0111
北海道,渡島支庁,0112
北海道,檜山支庁,0113
北海道,後志支庁,0114
北海道,空知支庁,0115
北海道,上川支庁,0116
北海道,留萌支庁,0117
北海道,宗谷支庁,0118
北海道,網走支庁,0119
北海道,胆振支庁,0120
北海道,日高支庁,0121
北海道,十勝支庁,0122
北海道,釧路支庁,0123
北海道,根室支庁,0124
青森県,東津軽郡,0211
青森県,西津軽郡,0212
青森県,中津軽郡,0213
青森県,南津軽郡,0214
青森県,北津軽郡,0215
青森県,上北郡,0216
青森県,下北郡,0217
青森県,三戸郡,0218
岩手県,岩手郡,0311
岩手県,*南岩手郡,0311
岩手県,*北岩手郡,0311
岩手県,紫波郡,0312
岩手県,稗貫郡,0313
岩手県,和賀郡,0314
岩手県,*東和賀郡,0314
岩手県,*西和賀郡,0314
岩手県,胆沢郡,0315
岩手県,江刺郡,0316
岩手県,西磐井郡,0317
岩手県,東磐井郡,0318
岩手県,気仙郡,0319
岩手県,上閉伊郡,0320
岩手県,*西閉伊郡,0320
岩手県,*南閉伊郡,0320
岩手県,下閉伊郡,0321
岩手県,*東閉伊郡,0321
岩手県,*中閉伊郡,0321
岩手県,*北閉伊郡,0321
岩手県,九戸郡,0322
岩手県,*南九戸郡,0322
岩手県,*北九戸郡,0322
岩手県,二戸郡,0323
宮城県,刈田郡,0411
宮城県,柴田郡,0412
宮城県,伊具郡,0413
宮城県,亘理郡,0414
宮城県,名取郡,0415
宮城県,宮城郡,0416
宮城県,黒川郡,0417
宮城県,加美郡,0418
宮城県,志田郡,0419
宮城県,玉造郡,0420
宮城県,遠田郡,0421
宮城県,栗原郡,0422
宮城県,登米郡,0423
宮城県,桃生郡,0424
宮城県,牡鹿郡,0425
宮城県,本吉郡,0426
秋田県,鹿角郡,0511
秋田県,北秋田郡,0512
秋田県,山本郡,0513
秋田県,南秋田郡,0514
秋田県,河辺郡,0515
秋田県,由利郡,0516
秋田県,仙北郡,0517
秋田県,平鹿郡,0518
秋田県,雄勝郡,0519
山形県,南村山郡,0611
山形県,東村山郡,0612
山形県,西村山郡,0613
山形県,北村山郡,0614
山形県,最上郡,0615
山形県,南置賜郡,0616
山形県,東置賜郡,0617
山形県,西置賜郡,0618
山形県,東田川郡,0619
山形県,西田川郡,0620
山形県,飽海郡,0621
福島県,信夫郡,0711
福島県,伊達郡,0712
福島県,安達郡,0713
福島県,安積郡,0714
福島県,岩瀬郡,0715
福島県,南会津郡,0716
福島県,北会津郡,0717
福島県,耶麻郡,0718
福島県,河沼郡,0719
福島県,大沼郡,0720
福島県,西白河郡,0721
福島県,東白川郡,0722
福島県,石川郡,0723
福島県,田村郡,0724
福島県,石城郡,0725
福島県,*菊多郡,0725
福島県,*磐前郡,0725
福島県,*磐城郡,0725
福島県,双葉郡,0726
福島県,*楢葉郡,0726
福島県,*標葉郡,0726
福島県,相馬郡,0727
福島県,*宇多郡,0727
福島県,*行方郡,0727
茨城県,東茨城郡,0811
茨城県,西茨城郡,0812
茨城県,那珂郡,0813
茨城県,久慈郡,0814
茨城県,多賀郡,0815
茨城県,鹿島郡,0816
茨城県,行方郡,0817
茨城県,稲敷郡,0818
茨城県,*信太郡,0818
茨城県,*河内郡,0818
茨城県,新治郡,0819
茨城県,筑波郡,0820
茨城県,真壁郡,0821
茨城県,結城郡,0822
茨城県,*岡田郡,0822
茨城県,*豊田郡,0822
茨城県,猿島郡,0823
茨城県,*西葛飾郡,0823
茨城県,北相馬郡,0824
栃木県,河内郡,0911
栃木県,上都賀郡,0912
栃木県,芳賀郡,0913
栃木県,下都賀郡,0914
栃木県,塩谷郡,0915
栃木県,那須郡,0916
栃木県,安蘇郡,0917
栃木県,足利郡,0918
栃木県,*梁田郡,0918
群馬県,勢多郡,1011
群馬県,*東群馬郡,1011
群馬県,*南勢多郡,1011
群馬県,群馬郡,1012
群馬県,*西群馬郡,1012
群馬県,*片岡郡,1012
群馬県,多野郡,1013
群馬県,*緑野郡,1013
群馬県,*多胡郡,1013
群馬県,*南甘楽郡,1013
群馬県,甘楽郡(北甘楽郡),1014
群馬県,碓氷郡,1015
群馬県,吾妻郡,1016
群馬県,利根郡,1017
群馬県,*北勢多郡,1017
群馬県,佐波郡,1018
群馬県,*佐位郡,1018
群馬県,*那波郡,1018
群馬県,新田郡,1019
群馬県,山田郡,1020
