citycode,incity,inpref,inregion,outregion,sum_outcity,visit_diff
01101,181543,212988,0,34124,247112,2
01102,203248,63836,0,6647,70483,3
01103,189486,50109,0,3200,53309,3
01104,143983,49362,0,3135,52497,3
01105,149496,44507,0,3952,48459,3
01106,100129,20670,0,2944,23614,4
01107,155264,39294,0,2924,42218,3
01108,89511,28302,0,2170,30472,4
01109,99845,19626,0,1429,21055,4
01110,78405,18461,0,1215,19676,4
01202,231532,25027,0,10820,35847,4
01203,98942,14963,0,4307,19270,4
01204,299805,29321,0,5953,35274,4
01205,74356,13429,0,1541,14970,5
01206,150579,16561,0,3736,20297,4
01207,143134,25852,0,3479,29331,4
01208,106995,11226,0,1690,12916,5
01209,6728,1284,0,304,1588,7
01210,69780,10623,0,884,11507,5
01211,33077,4638,0,1171,5809,5
01212,18222,3130,0,211,3341,6
01213,149818,17161,0,4107,21268,4
01214,31346,3372,0,1030,4402,6
01215,18565,3325,0,249,3574,6
01216,12658,1588,0,176,1764,7
01217,91093,16782,0,1332,18114,4
01218,9474,1586,0,57,1643,7
01219,19299,2169,0,336,2505,6
01220,16888,1987,0,277,2264,6
01221,24666,3341,0,349,3690,6
01222,6948,2132,0,214,2346,6
01223,22816,1512,0,468,1980,7
01224,76193,24485,0,11370,35855,4
01225,31742,5895,0,405,6300,5
01226,13961,4819,0,231,5050,6
01227,2833,552,0,16,568,8
01228,18081,4202,0,283,4485,6
01229,18955,3510,0,1404,4914,6
01230,37667,8028,0,1458,9486,5
01231,52868,11031,0,1279,12310,5
01233,28230,5029,0,507,5536,5
01234,41512,15335,0,1236,16571,4
01235,42088,12397,0,619,13016,5
01236,34522,7701,0,914,8615,5
01303,12403,3853,0,234,4087,6
01304,2722,819,0,45,864,7
01331,6026,485,0,130,615,8
01332,3675,575,0,41,616,8
01333,3627,575,0,113,688,8
01334,3789,761,0,134,895,7
01337,20488,4597,0,828,5425,6
01343,3547,672,0,157,829,7
01345,13091,2057,0,272,2329,6
01346,14522,2381,0,352,2733,6
01347,4276,1294,0,221,1515,7
01361,6222,1514,0,98,1612,7
01362,3859,658,0,42,700,8
01363,3300,790,0,32,822,7
01364,2851,382,0,35,417,8
01367,2330,340,0,234,574,8
01370,4739,643,0,58,701,8
01371,6912,938,0,118,1056,7
01391,1199,227,0,30,257,9
01392,2617,610,0,39,649,8
01393,2426,646,0,62,708,8
01394,3700,783,0,252,1035,7
01395,3439,1829,0,871,2700,6
01396,1722,411,0,58,469,8
01397,1334,1138,0,872,2010,7
01398,1611,902,0,112,1014,7
01399,2309,533,0,63,596,8
01400,11649,4259,0,1134,5393,6
01401,4271,1746,0,87,1833,7
01402,9787,1379,0,166,1545,7
01403,1073,1288,0,42,1330,7
01404,865,117,0,23,140,9
01405,1192,766,0,180,946,7
01406,2568,474,0,40,514,8
01407,2768,1139,0,87,1226,7
01408,15327,2991,0,435,3426,6
01409,784,934,0,362,1296,7
01423,5548,1559,0,125,1684,7
01424,4481,1722,0,66,1788,7
01425,2617,306,0,8,314,8
01427,4114,1604,0,110,1714,7
01428,8974,2631,0,189,2820,6
01429,9992,2163,0,99,2262,6
01430,3765,935,0,47,982,7
01431,1309,538,0,18,556,8
01432,5301,1348,0,64,1412,7
01433,2388,554,0,13,567,8
01434,1862,592,0,25,617,8
01436,2018,690,0,20,710,8
01437,1596,371,0,40,411,8
01438,2570,446,0,30,476,8
01452,4792,1406,0,108,1514,7
01453,6478,2889,0,380,3269,6
01454,5011,1244,0,75,1319,7
01455,2599,898,0,66,964,7
01456,2414,787,0,41,828,7
01457,3193,2156,0,555,2711,6
01458,5932,1708,0,330,2038,6
01459,8010,2040,0,794,2834,6
01460,8287,2470,0,439,2909,6
01461,3654,1236,0,360,1596,7
01462,1960,689,0,151,840,7
01463,769,1520,0,1144,2664,6
01464,2920,607,0,49,656,8
01465,2748,509,0,44,553,8
01468,2827,263,0,59,322,8
01469,3675,593,0,108,701,8
01470,686,356,0,55,411,8
01471,1453,251,0,26,277,8
01472,1318,457,0,40,497,8
01481,3680,777,0,61,838,7
01482,2567,830,0,61,891,7
01483,2635,465,0,57,522,8
01484,6223,1051,0,92,1143,7
01485,760,272,0,36,308,8
01486,2175,334,0,27,361,8
01487,2480,500,0,86,586,8
01511,2165,426,0,74,500,8
01512,3284,669,0,85,754,7
01513,1370,217,0,13,230,9
01514,7367,612,0,78,690,8
01516,3360,514,0,124,638,8
01517,2385,253,0,288,541,8
01518,1554,202,0,82,284,8
01519,2202,560,0,237,797,7
01520,1739,687,0,60,747,8
01543,16952,2330,0,164,2494,6
01544,4023,948,0,68,1016,7
01545,9720,1785,0,1206,2991,6
01546,3470,506,0,101,607,8
01547,4019,989,0,83,1072,7
01549,3831,779,0,21,800,7
01550,2554,411,0,46,457,8
01552,4336,826,0,89,915,7
01555,17322,2533,0,337,2870,6
01559,8084,1352,0,102,1454,7
01560,2276,347,0,59,406,8
01561,3294,569,0,34,603,8
01562,941,223,0,15,238,9
01563,3735,454,0,42,496,8
01564,6004,1447,0,351,1798,7
01571,3319,916,0,116,1032,7
01575,1868,1451,0,277,1728,7
01578,14376,3473,0,471,3944,6
01581,3587,2044,0,212,2256,6
01584,6616,3288,0,768,4056,6
01585,5848,2274,0,264,2538,6
01586,7053,1883,0,194,2077,6
01601,10158,1934,0,189,2123,6
01602,4517,1018,0,80,1098,7
01604,4656,878,0,152,1030,7
01607,10966,1354,0,128,1482,7
01608,3662,307,0,44,351,8
01609,4253,429,0,88,517,8
01610,19605,2010,0,344,2354,6
01631,33103,7313,0,792,8105,5
01632,5052,1674,0,144,1818,7
01633,3849,956,0,211,1167,7
01634,4292,1030,0,155,1185,7
01635,5093,1218,0,281,1499,7
01636,7717,2219,0,156,2375,6
01637,13987,4895,0,205,5100,6
01638,3318,797,0,105,902,7
01639,2587,864,0,45,909,7
01641,4558,917,0,120,1037,7
01642,6099,806,0,69,875,7
01643,19862,4605,0,339,4944,6
01644,5240,1296,0,80,1376,7
