primkey,ken,shicho,gun,name,type,code6,code5,yomi,start,end,y,x,note,update
20319,北海道,石狩支庁,札幌市,中央区,政令区,010101,01101,ちゅうおうく,1972-04-01,2010-04-01,43.060752,141.351943,,2021-08-07
20320,北海道,石狩振興局,札幌市,中央区,政令区,010101,01101,ちゅうおうく,2010-04-01,0000-00-00,43.060752,141.351943,,2021-08-07
20321,北海道,石狩支庁,札幌市,北区,政令区,010102,01102,きたく,1972-04-01,2010-04-01,43.092068,141.340013,,2021-08-07
20322,北海道,石狩振興局,札幌市,北区,政令区,010102,01102,きたく,2010-04-01,0000-00-00,43.092068,141.340013,,2021-08-07
20323,北海道,石狩支庁,札幌市,東区,政令区,010103,01103,ひがしく,1972-04-01,2010-04-01,43.076678,141.365032,,2021-08-07
20324,北海道,石狩振興局,札幌市,東区,政令区,010103,01103,ひがしく,2010-04-01,0000-00-00,43.076678,141.365032,,2021-08-07
20325,北海道,石狩支庁,札幌市,白石区,政令区,010104,01104,しろいしく,1972-04-01,2010-04-01,43.050215,141.406832,,2021-08-07
20326,北海道,石狩振興局,札幌市,白石区,政令区,010104,01104,しろいしく,2010-04-01,0000-00-00,43.050215,141.406832,,2021-08-07
20327,北海道,石狩支庁,札幌市,豊平区,政令区,010105,01105,とよひらく,1972-04-01,2010-04-01,43.032463,141.378422,,2021-08-07
20328,北海道,石狩振興局,札幌市,豊平区,政令区,010105,01105,とよひらく,2010-04-01,0000-00-00,43.032463,141.378422,,2021-08-07
20329,北海道,石狩支庁,札幌市,南区,政令区,010106,01106,みなみく,1972-04-01,2010-04-01,42.991072,141.353102,,2021-08-07
20330,北海道,石狩振興局,札幌市,南区,政令区,010106,01106,みなみく,2010-04-01,0000-00-00,42.991072,141.353102,,2021-08-07
20331,北海道,石狩支庁,札幌市,西区,政令区,010107,01107,にしく,1972-04-01,2010-04-01,43.077117,141.300659,,2021-08-07
20332,北海道,石狩振興局,札幌市,西区,政令区,010107,01107,にしく,2010-04-01,0000-00-00,43.077117,141.300659,,2021-08-07
20333,北海道,石狩支庁,札幌市,厚別区,政令区,010108,01108,あつべつく,1989-11-06,2010-04-01,43.035725,141.476140,,2021-08-07
20334,北海道,石狩振興局,札幌市,厚別区,政令区,010108,01108,あつべつく,2010-04-01,0000-00-00,43.035725,141.476140,,2021-08-07
20335,北海道,石狩支庁,札幌市,手稲区,政令区,010109,01109,ていねく,1989-11-06,2010-04-01,43.119358,141.241479,,2021-08-07
20336,北海道,石狩振興局,札幌市,手稲区,政令区,010109,01109,ていねく,2010-04-01,0000-00-00,43.119358,141.241479,,2021-08-07
20337,北海道,石狩支庁,札幌市,清田区,政令区,010110,01110,きよたく,1997-11-04,2010-04-01,42.996911,141.443353,,2021-08-07
20338,北海道,石狩振興局,札幌市,清田区,政令区,010110,01110,きよたく,2010-04-01,0000-00-00,42.996911,141.443353,,2021-08-07
20339,北海道,札幌支庁,,札幌区,区(市),011001,,さっぽろく,1899-10-01,1922-08-01,43.060752,141.351943,,2021-08-07
20340,北海道,札幌支庁,,札幌市,市,011001,,さっぽろし,1922-08-01,1922-08-16,43.060752,141.351943,,2021-08-07
20341,北海道,石狩支庁,,札幌市,市,011001,01201,さっぽろし,1922-08-16,1972-04-01,43.060752,141.351943,,2021-08-07
20342,北海道,石狩支庁,,札幌市,市,011001,01100,さっぽろし,1972-04-01,2010-04-01,43.060752,141.351943,,2021-08-07
20343,北海道,石狩振興局,,札幌市,市,011001,01100,さっぽろし,2010-04-01,0000-00-00,43.060752,141.351943,,2021-08-07
20344,北海道,上川支庁,上川郡(石狩),旭川町,町,011002,,あさひかわちょう,1902-04-01,1914-04-01,43.771512,142.363114,,2021-08-07
20345,北海道,上川支庁,,旭川区,区(市),011002,,あさひかわく,1914-04-01,1922-08-01,43.771512,142.363114,,2021-08-07
20346,北海道,上川支庁,,旭川市,市,011002,01204,あさひかわし,1922-08-01,2010-04-01,43.771512,142.363114,,2021-08-07
20347,北海道,上川総合振興局,,旭川市,市,011002,01204,あさひかわし,2010-04-01,0000-00-00,43.771512,142.363114,,2021-08-07
20348,北海道,小樽支庁,,小樽区,区(市),011003,,おたるく,1899-10-01,1910-03-01,43.191019,140.996604,,2021-08-07
20349,北海道,後志支庁,,小樽区,区(市),011003,,おたるく,1910-03-01,1922-08-01,43.191019,140.996604,,2021-08-07
20350,北海道,後志支庁,,小樽市,市,011003,01203,おたるし,1922-08-01,2010-04-01,43.191019,140.996604,,2021-08-07
20351,北海道,後志総合振興局,,小樽市,市,011003,01203,おたるし,2010-04-01,0000-00-00,43.191019,140.996604,,2021-08-07
20352,北海道,函館支庁,,函館区,区(市),011004,,はこだてく,1899-10-01,1922-08-01,41.764670,140.719113,,2021-08-07
20353,北海道,函館支庁,,函館市,市,011004,,はこだてし,1922-08-01,1922-08-16,41.764670,140.719113,,2021-08-07
20354,北海道,渡島支庁,,函館市,市,011004,01202,はこだてし,1922-08-16,2010-04-01,41.764670,140.719113,,2021-08-07
20355,北海道,渡島総合振興局,,函館市,市,011004,01202,はこだてし,2010-04-01,0000-00-00,41.764670,140.719113,,2021-08-07
20356,北海道,室蘭支庁,室蘭郡,室蘭町,町,011005,,むろらんちょう,1900-07-01,1918-02-01,42.316940,140.970597,,2021-08-07
