code,alias,name,yomi,ken,area,note,fullcode
00100,,札幌北,,北海道,札幌北区[新川・新琴似],,00100/00109
00109,00100,,,北海道,,,00109
00208,,篠路,,北海道,札幌北区[篠路]、当別町[石狩川以西],,00208/00280
00280,00208,,,北海道,,,00280
00300,,札幌白石,,北海道,札幌白石区,,00300/00308
00308,00300,,,北海道,,,00308
00400,,厚別,,北海道,札幌厚別区、札幌清田区,,00400/00408
00408,00400,,,北海道,,,00408
00500,,札幌南,,北海道,札幌南区[真駒内・石山],,00500/00508
00508,00500,,,北海道,,,00508
00600,,手稲,,北海道,札幌手稲区,,00600/00608
00608,00600,,,北海道,,,00608
00700,,丘珠,,北海道,札幌東区[丘珠・伏古],,00700/00708
00708,00700,,,北海道,,,00708
01000,,秋田中央,,秋田県,秋田市[秋田],,01000/01008/01009
01001,,追分,,秋田県,秋田市[新城・金足]、潟上市[追分],,01001
01002,,天王,,秋田県,潟上市[天王],,01002
01003,,船越,,秋田県,男鹿市[船越・脇本・五里合],,01003
01004,,若美,,秋田県,男鹿市[若美]、大潟村,,01004
01005,,男鹿,,秋田県,男鹿市[船川],,01005
01006,,北浦,,秋田県,男鹿市[北浦],,01006
01008,01000,,,秋田県,,,01008
01009,01000,,,秋田県,,,01009
01011,,太平,,秋田県,秋田市[太平],,01011
01012,,雄和,,秋田県,秋田市[雄和],,01012
01013,,大正寺,,秋田県,秋田市[大正寺],,01013
01014,,仁井田,,秋田県,秋田市[仁井田],,01014
01015,,下浜,,秋田県,秋田市[下浜],,01015
01016,,新屋,,秋田県,秋田市[新屋],,01016
01109,,土崎,,秋田県,秋田市[土崎],,01109
01200,,湯沢,,秋田県,湯沢市[湯沢],,01200/01208
01201,,稲川,,秋田県,湯沢市[稲川・皆瀬],,01201
01208,01200,,,秋田県,,,01208
01211,,西馬音内,,秋田県,羽後町[西馬音内],,01211
01212,,田代,,秋田県,羽後町[田代],,01212
01213,,仙道,,秋田県,羽後町[仙道],,01213
01300,,横手,,秋田県,横手市[横手],,01300/01308
01301,,平鹿,,秋田県,横手市[平鹿],,01301
01302,,雄物川,,秋田県,横手市[雄物川],,01302
01303,01304,,,秋田県,,,01303
01304,,館合,,秋田県,横手市[大雄・館合],,01303/01304
01305,,大森,,秋田県,横手市[大森],,01305
01308,01300,,,秋田県,,,01308
01400,,大曲,,秋田県,大仙市[大曲],,01400/01408
01401,,四ツ屋,,秋田県,大仙市[四ツ屋・横堀],,01401
01402,,中仙,,秋田県,大仙市[長野],,01402
01403,,角館,,秋田県,仙北市[角館],,01403
01405,,西明寺,,秋田県,仙北市[西明寺],,01405
01406,,桧木内,,秋田県,仙北市[桧木内],,01406
01407,,羽後豊川,,秋田県,大仙市[豊川・豊岡],,01407
01408,01400,,,秋田県,,,01408
01411,,神代,,秋田県,仙北市[神代],,01411
01412,,田沢湖,,秋田県,仙北市[田沢湖],,01412
01414,,角間川,,秋田県,大仙市[角間川],,01414
01500,,本荘,,秋田県,由利本荘市[本荘],,01500/01508
01502,,老方,,秋田県,由利本荘市[東由利],,01502
01503,,由利,,秋田県,由利本荘市[由利],,01503
01504,,矢島,,秋田県,由利本荘市[矢島],,01504
01505,,鳥海,,秋田県,由利本荘市[鳥海],,01505
01507,,笹子,,秋田県,由利本荘市[笹子],,01507
01508,01500,,,秋田県,,,01508
01600,,能代,,秋田県,能代市[能代],,01600/01608
01601,,東能代,,秋田県,能代市[能代南部],,01601
01608,01600,,,秋田県,,,01608
01700,,大館,,秋田県,大館市[大館・花矢],,01700/01708
01702,,小坂,,秋田県,小坂町[十和田湖を除く],,01702
01708,01700,,,秋田県,,,01708
01801,,象潟,,秋田県,にかほ市[象潟],,01801
01803,,金浦,,秋田県,にかほ市[金浦],,01803
01804,,仁賀保,,秋田県,にかほ市[仁賀保],,01804
01806,,西目,,秋田県,由利本荘市[西目],,01806
01807,,岩谷,,秋田県,由利本荘市[岩谷],,01807
01808,,新沢,,秋田県,由利本荘市[下川大内],,01808
01809,,中田代,,秋田県,由利本荘市[上川大内],,01809
01812,,亀田,,秋田県,由利本荘市[亀田],,01812
01813,,岩城,,秋田県,由利本荘市[岩城],,01813
01814,,大久保,,秋田県,潟上市[昭和],,01814
01815,,飯田川,,秋田県,潟上市[飯田川]、井川町,,01815
01816,,八郎潟,,秋田県,八郎潟町,,01816
01817,,五城目,,秋田県,五城目町[五城目],,01817
01818,,内川,,秋田県,五城目町[富津内],,01818
01821,,琴丘,,秋田県,三種町[琴丘],,01821
01823,,森岳,,秋田県,三種町[山本],,01823
01824,,八竜,,秋田県,三種町[八竜],,01824
01825,,峰浜,,秋田県,八峰町[峰浜],,01825
01826,,八森,,秋田県,八峰町[八森],,01826
01828,,常盤,,秋田県,能代市[常盤],,01828
01831,,二ツ井,,秋田県,能代市[二ツ井],,01831
01832,,藤琴,,秋田県,藤里町,,01832
01833,,鷹巣,,秋田県,北秋田市[鷹巣],,01833
01834,,七日市,,秋田県,北秋田市[七日市],,01834
01835,,早口,,秋田県,大館市[田代],,01835
01842,,合川,,秋田県,北秋田市[合川],,01842
01843,,米内沢,,秋田県,北秋田市[米内沢],,01843
01844,,上小阿仁,,秋田県,上小阿仁村,,01844
01845,,前田,,秋田県,北秋田市[前田],,01845
01846,,阿仁合,,秋田県,北秋田市[阿仁合],,01846
01847,,比立内,,秋田県,北秋田市[大阿仁],,01847
01851,,八幡平,,秋田県,鹿角市[八幡平],,01851
01852,,花輪,,秋田県,鹿角市[花輪・尾去沢],,01852
01853,,毛馬内,,秋田県,鹿角市[毛馬内],,01853
01854,,大湯,,秋田県,鹿角市[大湯],,01854
01855,,十和田湖,,青森県,十和田市[十和田湖畔]、秋田県小坂町[十和田湖],,01855
01856,,十二所,,秋田県,大館市[十二所],,01856
01857,,比内,,秋田県,大館市[扇田],,01857
01858,,大葛,,秋田県,大館市[大葛],,01858
01901,,院内,,秋田県,湯沢市[院内],,01901
01902,,横堀,,秋田県,湯沢市[横堀],,01902
01903,,秋ノ宮,,秋田県,湯沢市[秋ノ宮],,01903
01904,,須川,,秋田県,湯沢市[須川],,01904
01905,,十文字,,秋田県,横手市[十文字],,01905
01907,,増田,,秋田県,横手市[増田],,01907
01908,,東成瀬,,秋田県,東成瀬村,,01908
01911,,山内,,秋田県,横手市[山内],,01911
01912,,仙南,,秋田県,美郷町[飯詰],,01912
01913,,羽後金沢,,秋田県,美郷町[金沢],,01913
01914,,六郷,,秋田県,美郷町[六郷],,01914
01915,,千屋,,秋田県,美郷町[千畑],,01915
01916,,太田,,秋田県,大仙市[太田],,01916
01917,,神宮寺,,秋田県,大仙市[神岡],,01917
01918,,南楢岡,,秋田県,大仙市[南楢岡],,01918
01919,,外小友,,秋田県,大仙市[外小友],,01919
01921,,刈和野,,秋田県,大仙市[刈和野],,01921
01922,,大沢郷,,秋田県,大仙市[大沢郷],,01922
01923,,強首,,秋田県,大仙市[強首],,01923
01924,,協和,,秋田県,大仙市[協和],,01924
01925,,羽後荒川,,秋田県,大仙市[稲沢],,01925
01926,,和田,,秋田県,秋田市[和田],,01926
01927,,岩見三内,,秋田県,秋田市[岩見三内],,01927
02000,,盛岡中央,,岩手県,盛岡市[盛岡]、矢巾町[流通センター南],,02000/02008
02001,,盛岡北,,岩手県,盛岡市[厨川]、滝沢市,,02001/02006/02007
02002,,玉山,,岩手県,盛岡市[玉山],,02002
02003,,簗川,,岩手県,盛岡市[簗川],,02003
02004,,乙部,,岩手県,盛岡市[乙部],,02004
02005,,雫石,,岩手県,雫石町,,02005
02006,02001,,,岩手県,,,02006
02007,02001,,,岩手県,,,02007
02008,02000,,,岩手県,,,02008
02100,,一関,,岩手県,一関市[一関],,02100/02108/02109
02101,,厳美,,岩手県,一関市[厳美],,02101
02102,,舞川,,岩手県,一関市[舞川],,02102
02108,02100,,,岩手県,,,02108
02109,02100,,,岩手県,,,02109
02200,,大船渡,,岩手県,大船渡市[大船渡],,02200
02201,,三陸,,岩手県,大船渡市[越喜来・吉浜],,02201
02202,,綾里,,岩手県,大船渡市[綾里],,02202
02300,,水沢,,岩手県,奥州市[水沢],,02300/02308
02301,,羽田,,岩手県,奥州市[羽田・田原],,02301
02304,,胆沢,,岩手県,奥州市[胆沢],,02304
02308,02300,,,岩手県,,,02308
02311,,江刺,,岩手県,奥州市[江刺],,02311
02313,,野手崎,,岩手県,奥州市[梁川],,02313
02315,,米里,,岩手県,奥州市[米里],,02315
02317,,伊手,,岩手県,奥州市[藤里・伊手],,02317
