富山市,16201,#ba0000,207266,239810,269276,290143,305055,314111,321254,325375,325700,421239,421953,418686,413938,0,1,1,0,0,0,0,0,0,1,0,0,0
高岡市,16202,#ba6000,135190,139502,159664,169621,175055,175780,175466,173607,172184,167685,176061,172125,166393,0,0,1,0,0,0,0,0,0,0,1,0,0
新湊市,16203,#ad9100,47882,46870,45701,44700,43093,41707,39434,38491,37287,36547,93588,,,0,0,0,0,0,0,0,0,0,0,2,,
魚津市,16204,#a4ba00,47309,46854,47124,48419,49512,49825,49514,48316,47136,46331,44959,42935,40535,0,0,0,0,0,0,0,0,0,0,0,0,0
氷見市,16205,#5aba00,65962,62452,60883,61789,62413,62112,60766,58786,56680,54495,51726,47992,43950,0,0,0,0,0,0,0,0,0,0,0,0,0
滑川市,16206,#02a10c,31392,30256,30039,30456,30744,30880,30923,31841,33363,34002,33676,32755,32349,0,0,0,0,0,0,0,0,0,0,0,0,0
黒部市,16207,#00b075,31968,32821,33438,34451,35443,36135,36493,36414,36531,36543,41852,40991,39638,0,0,0,0,0,0,0,0,0,0,1,0,0
砺波市,16208,#009eb0,36453,34768,34023,34286,35830,36516,37070,38531,40744,49429,49410,49000,48154,0,0,0,0,0,0,0,0,0,1,0,0,0
小矢部市,16209,#0050bf,,35646,35367,35791,36497,36711,36374,35785,34625,33533,32067,30399,28983,,1,0,0,0,0,0,0,0,0,0,0,0
南砺市,16210,#1300bf,,,,,,,,,,58140,54724,51327,47937,,,,,,,,,,1,0,0,0
射水市,16211,#6900bf,,,,,,,,,,,93588,92308,90742,,,,,,,,,,,1,0,0
