fid,KEN,SHICHO,GUN,NAME,CODE5,CODE6,TYPE,kencode,shicode,length,binary,alpha,fullcode
"1",沖縄県,,八重山郡,与那国町,"47382",,町,"222222","222222","12","8191",zzl,"222222222222"
"5",沖縄県,,島尻郡,南大東村,"47357",,村,"222222","22121","11","4090",zw0,"22222222121"
"6",沖縄県,,,糸満市,"47210",,市,"222222","1122","10","2035",zd,"2222221122"
"8",沖縄県,,島尻郡,南風原町,"47350",,町,"222222","12111","11","4072",zg0,"22222212111"
"9",沖縄県,,島尻郡,与那原町,"47348",,町,"222222","12121","11","4074",zh0,"22222212121"
"10",沖縄県,,中頭郡,西原町,"47329",,町,"222222","12122","11","4075",zhV,"22222212122"
"11",沖縄県,,中頭郡,中城村,"47328",,村,"222222","122211","12","8156",zk1,"222222122211"
"12",沖縄県,,中頭郡,北中城村,"47327",,村,"222222","122212","12","8157",zkG,"222222122212"
"13",沖縄県,,,宜野湾市,"47205",,市,"222222","12212","11","4077",zjV,"22222212212"
"14",沖縄県,,中頭郡,北谷町,"47326",,町,"222222","122221","12","8158",zkW,"222222122221"
"15",沖縄県,,,沖縄市,"47211",,市,"222222","21111","11","4080",zo0,"22222221111"
"22",沖縄県,,国頭郡,宜野座村,"47313",,村,"222222","2122111","13","16344",zs2,"2222222122111"
"23",沖縄県,,国頭郡,恩納村,"47311",,村,"222222","211221","12","8166",zpW,"222222211221"
"24",沖縄県,,国頭郡,金武町,"47314",,町,"222222","211222","12","8167",zpl,"222222211222"
"25",沖縄県,,中頭郡,読谷村,"47324",,村,"222222","21121","11","4082",zp0,"22222221121"
"28",沖縄県,,国頭郡,大宜味村,"47302",,村,"222222","2122121","13","16346",zsH,"2222222122121"
"29",沖縄県,,国頭郡,東村,"47303",,村,"222222","2122112","13","16345",zs9,"2222222122112"
"30",沖縄県,,国頭郡,伊江村,"47315",,村,"222222","212221","12","8174",zsW,"222222212221"
"31",沖縄県,,国頭郡,国頭村,"47301",,村,"222222","2122122","13","16347",zsO,"2222222122122"
"32",沖縄県,,島尻郡,粟国村,"47355",,村,"222222","2211222","13","16359",zvt,"2222222211222"
"33",鹿児島県,,大島郡,知名町,"46534",,町,"222221","2222212","13","16253",zUe,"2222212222212"
"34",鹿児島県,,大島郡,和泊町,"46533",,町,"222221","2222211","13","16252",zUX,"2222212222211"
"35",鹿児島県,,大島郡,伊仙町,"46532",,町,"222221","2222122","13","16251",zUO,"2222212222122"
"36",鹿児島県,,大島郡,徳之島町,"46530",,町,"222221","222211","12","8124",zU1,"222221222211"
"37",鹿児島県,,大島郡,天城町,"46531",,町,"222221","2222121","13","16250",zUH,"2222212222121"
"38",鹿児島県,,大島郡,龍郷町,"46527",,町,"222221","2221211","13","16244",zTX,"2222212221211"
"41",鹿児島県,,大島郡,大和村,"46523",,村,"222221","22212121","14","32490",zTf,"22222122212121"
"44",鹿児島県,,大島郡,喜界町,"46529",,町,"222221","2221222","13","16247",zTt,"2222212221222"
"45",鹿児島県,,大島郡,与論町,"46535",,町,"222221","222222","12","8127",zUl,"222221222222"
